Year,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983
FA_Mag,nan,5.3708156637713715,nan,nan,nan,nan,nan,nan,nan,102.99873850009443,2.026540078238542,nan,nan,58.97732619309743,2.4856488618398735,nan,nan,nan,nan,58.93598565098395,nan,nan,nan,nan,nan,nan,nan,2.281602214906831,8.097014947687668,2.1478446927370496
FA_Tim,nan,70.0,nan,nan,nan,nan,nan,nan,nan,13.0,55.0,nan,nan,66.0,64.0,nan,nan,nan,nan,44.0,nan,nan,nan,nan,nan,nan,nan,64.0,52.0,25.0
FA_Dur,nan,23.0,nan,nan,nan,nan,nan,nan,nan,2.0,18.0,nan,nan,3.0,21.0,nan,nan,nan,nan,14.0,nan,nan,nan,nan,nan,nan,nan,21.0,6.0,9.0
Wet_BFL_Mag_10,nan,0.0,9.000000000000007,nan,18.0,0.3,nan,nan,nan,0.3,0.1,3.7,0.0,4.86,0.7330000000000001,4.490000000000001,1.8600000000000003,2.8,nan,20.0,2.95,1.33,nan,nan,9.09,0.864,4.62,0.525,13.0,4.9
Wet_BFL_Mag_50,nan,1.5,39.0,nan,44.0,8.0,nan,nan,nan,15.5,0.4,10.0,3.7,23.0,2.9,83.5,21.0,6.6,nan,53.0,12.0,14.0,nan,nan,29.0,3.1,23.0,2.9,46.5,67.0
Wet_Tim,nan,85.0,72.0,nan,112.0,123.0,nan,nan,nan,110.0,100.0,73.0,77.0,102.0,94.0,100.0,76.0,53.0,nan,92.0,30.0,119.0,nan,nan,73.0,95.0,81.0,108.0,76.0,76.0
Wet_BFL_Dur,nan,126.0,77.0,nan,76.0,24.0,nan,nan,nan,90.0,17.0,129.0,53.0,105.0,78.0,54.0,83.0,164.0,nan,82.0,156.0,74.0,nan,nan,90.0,53.0,79.0,68.0,120.0,138.0
Peak_2,nan,174.5,174.5,nan,174.5,174.5,nan,nan,nan,174.5,174.5,174.5,174.5,174.5,174.5,174.5,174.5,174.5,nan,174.5,174.5,174.5,nan,nan,174.5,174.5,174.5,174.5,174.5,174.5
Peak_5,nan,829.6000000000001,829.6000000000001,nan,829.6000000000001,829.6000000000001,nan,nan,nan,829.6000000000001,829.6000000000001,829.6000000000001,829.6000000000001,829.6000000000001,829.6000000000001,829.6000000000001,829.6000000000001,829.6000000000001,nan,829.6000000000001,829.6000000000001,829.6000000000001,nan,nan,829.6000000000001,829.6000000000001,829.6000000000001,829.6000000000001,829.6000000000001,829.6000000000001
Peak_10,nan,1019.0000000000006,1019.0000000000006,nan,1019.0000000000006,1019.0000000000006,nan,nan,nan,1019.0000000000006,1019.0000000000006,1019.0000000000006,1019.0000000000006,1019.0000000000006,1019.0000000000006,1019.0000000000006,1019.0000000000006,1019.0000000000006,nan,1019.0000000000006,1019.0000000000006,1019.0000000000006,nan,nan,1019.0000000000006,1019.0000000000006,1019.0000000000006,1019.0000000000006,1019.0000000000006,1019.0000000000006
