Year,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
FA_Mag,nan,91.99393680216447,nan,1.432953552318725,1.5059592802977737,nan,nan,nan,1.8058642605341317,16.000941638871552,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.60682042446171,4.197821619684191,nan,5.16275988044953,nan,2.7296515037459916,nan
FA_Tim,nan,45.0,nan,51.0,9.0,nan,nan,nan,24.0,64.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,39.0,18.0,nan,69.0,nan,32.0,nan
FA_Dur,nan,3.0,nan,3.0,5.0,nan,nan,nan,12.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.0,6.0,nan,1.0,nan,10.0,nan
Wet_BFL_Mag_10,0.57,7.480000000000002,3.6000000000000014,0.8630000000000001,0.34,0.0,14.0,2.9,4.32,2.0000000000000004,4.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.26,7.32,2.9,0.27,1.0,0.9170000000000001,1.24
Wet_BFL_Mag_50,2.4,37.0,11.0,32.0,0.54,0.38,37.0,8.1,10.0,5.05,23.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.8,26.0,12.0,2.6,7.7,17.45,7.42
Wet_Tim,72.0,94.0,37.0,114.0,116.0,80.0,88.0,94.0,78.0,106.0,38.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,65.0,80.0,71.0,122.0,73.0,124.0,5.0
Wet_BFL_Dur,60.0,60.0,147.0,62.0,81.0,91.0,71.0,89.0,67.0,70.0,158.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,87.0,97.0,118.0,31.0,78.0,34.0,193.0
Peak_2,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224.0,224.0,224.0,224.0,224.0,224.0,224.0
Peak_5,399.00000000000017,399.00000000000017,399.00000000000017,399.00000000000017,399.00000000000017,399.00000000000017,399.00000000000017,399.00000000000017,399.00000000000017,399.00000000000017,399.00000000000017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,399.00000000000017,399.00000000000017,399.00000000000017,399.00000000000017,399.00000000000017,399.00000000000017,399.00000000000017
Peak_10,449.6,449.6,449.6,449.6,449.6,449.6,449.6,449.6,449.6,449.6,449.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,449.6,449.6,449.6,449.6,449.6,449.6,449.6
