Year,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
FA_Mag,1069.9439974387444,759.9551462037169,nan,32.9960206410358,nan,nan,nan,13.99848500555397,31.98704896757273,nan,38.98897786821989,133.98849898684733,51.992499293284475,42.001494442807484,39.89704730695503,7.219745367930867,9.843711505987507,1279.7587900741773,49.97418124977473,422.94360120367605,108.99310905477161,69.9976862701039,57.00087958715877,34.99572687529566,15.019494204321372,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,116.95744208382932,nan,nan,62.96649612307414,nan,146.99581210727715,nan,nan,87.99453186721016,nan,nan,nan,nan,nan,nan
FA_Tim,62.0,12.0,nan,28.0,nan,nan,nan,33.0,36.0,nan,42.0,14.0,22.0,28.0,9.0,21.0,20.0,51.0,19.0,64.0,27.0,25.0,0.0,16.0,20.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.0,nan,nan,34.0,nan,62.0,nan,nan,32.0,nan,nan,nan,nan,nan,nan
FA_Dur,4.0,3.0,nan,8.0,nan,nan,nan,8.0,3.0,nan,3.0,7.0,5.0,6.0,8.0,8.0,3.0,2.0,2.0,8.0,3.0,3.0,3.0,2.0,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.0,nan,nan,8.0,nan,8.0,nan,nan,6.0,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,27.3,18.0,26.0,65.2,44.0,47.0,24.0,179.0,50.3,42.400000000000006,16.0,47.400000000000006,63.8,37.0,15.0,5.91,167.0,118.60000000000001,151.8,67.40000000000005,87.4,98.60000000000001,87.10000000000001,36.6,154.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,111.0,85.0,28.0,77.0,nan,71.0,nan,8.7,43.7,68.0,nan,nan,18.0,10.0,nan
Wet_BFL_Mag_50,297.5,287.0,39.0,138.0,106.0,294.0,42.5,1180.0,192.0,81.0,52.0,354.0,160.0,486.0,18.0,9.2,482.5,280.0,370.0,151.0,280.0,694.5,199.5,67.0,811.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,219.5,158.0,143.0,118.0,nan,174.5,nan,157.0,128.0,178.0,nan,nan,64.0,22.5,nan
Wet_Tim,107.0,110.0,30.0,73.0,38.0,43.0,57.0,100.0,76.0,47.0,69.0,37.0,38.0,112.0,20.0,63.0,73.0,94.0,78.0,106.0,39.0,44.0,36.0,35.0,118.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96.0,38.0,31.0,53.0,nan,68.0,nan,86.0,110.0,5.0,nan,nan,43.0,120.0,nan
Wet_BFL_Dur,54.0,91.0,192.0,123.0,94.0,166.0,114.0,51.0,82.0,155.0,63.0,138.0,149.0,64.0,177.0,162.0,128.0,89.0,69.0,69.0,157.0,170.0,54.0,147.0,52.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,110.0,141.0,203.0,99.0,nan,122.0,nan,65.0,48.0,193.0,nan,nan,45.0,68.0,nan
Peak_2,3385.0,3385.0,3385.0,3385.0,3385.0,3385.0,3385.0,3385.0,3385.0,3385.0,3385.0,3385.0,3385.0,3385.0,3385.0,3385.0,3385.0,3385.0,3385.0,3385.0,3385.0,3385.0,3385.0,3385.0,3385.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3385.0,3385.0,3385.0,3385.0,nan,3385.0,nan,3385.0,3385.0,3385.0,nan,nan,3385.0,3385.0,nan
Peak_5,5262.000000000002,5262.000000000002,5262.000000000002,5262.000000000002,5262.000000000002,5262.000000000002,5262.000000000002,5262.000000000002,5262.000000000002,5262.000000000002,5262.000000000002,5262.000000000002,5262.000000000002,5262.000000000002,5262.000000000002,5262.000000000002,5262.000000000002,5262.000000000002,5262.000000000002,5262.000000000002,5262.000000000002,5262.000000000002,5262.000000000002,5262.000000000002,5262.000000000002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5262.000000000002,5262.000000000002,5262.000000000002,5262.000000000002,nan,5262.000000000002,nan,5262.000000000002,5262.000000000002,5262.000000000002,nan,nan,5262.000000000002,5262.000000000002,nan
Peak_10,6071.999999999999,6071.999999999999,6071.999999999999,6071.999999999999,6071.999999999999,6071.999999999999,6071.999999999999,6071.999999999999,6071.999999999999,6071.999999999999,6071.999999999999,6071.999999999999,6071.999999999999,6071.999999999999,6071.999999999999,6071.999999999999,6071.999999999999,6071.999999999999,6071.999999999999,6071.999999999999,6071.999999999999,6071.999999999999,6071.999999999999,6071.999999999999,6071.999999999999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6071.999999999999,6071.999999999999,6071.999999999999,6071.999999999999,nan,6071.999999999999,nan,6071.999999999999,6071.999999999999,6071.999999999999,nan,nan,6071.999999999999,6071.999999999999,nan
