Year,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980
FA_Mag,nan,170.00398406862442,nan,33.00406394221051,42.00032099033245,193.98340088239786,461.9803578752756,112.99311237794274,159.99387891235762,nan,nan,53.9994851352968,12.057278364224999,34.06047046313986,52.000244317885944,32.94526936112107,137.99559876935024,nan,100.99066405593281,66.97757050868815,nan,110.99627135414812,50.001393269337235,68.99831824636307
FA_Tim,nan,9.0,nan,0.0,21.0,55.0,11.0,10.0,28.0,nan,nan,44.0,11.0,14.0,21.0,41.0,11.0,nan,27.0,9.0,nan,52.0,51.0,18.0
FA_Dur,nan,2.0,nan,15.0,5.0,3.0,7.0,3.0,6.0,nan,nan,3.0,3.0,3.0,6.0,4.0,5.0,nan,6.0,8.0,nan,4.0,5.0,2.0
Wet_BFL_Mag_10,96.30000000000001,260.6,37.0,62.0,44.0,58.0,113.0,41.0,81.4,98.0,101.0,81.9,133.8,74.0,92.0,34.900000000000006,79.0,205.4,147.0,30.0,6.7,195.40000000000003,35.0,111.80000000000001
Wet_BFL_Mag_50,225.0,1170.0,166.0,154.0,141.0,454.0,187.0,81.0,184.0,234.0,271.0,196.0,452.0,292.5,281.0,86.0,336.0,434.0,384.0,49.0,14.0,506.5,181.0,235.0
Wet_Tim,133.0,72.0,78.0,109.0,39.0,120.0,116.0,15.0,68.0,30.0,38.0,97.0,66.0,66.0,41.0,47.0,36.0,29.0,120.0,56.0,30.0,69.0,89.0,77.0
Wet_BFL_Dur,102.0,115.0,135.0,133.0,171.0,41.0,84.0,101.0,138.0,155.0,187.0,74.0,119.0,96.0,139.0,190.0,181.0,157.0,91.0,141.0,211.0,142.0,131.0,115.0
Peak_2,2370.0,2370.0,2370.0,2370.0,2370.0,2370.0,2370.0,2370.0,2370.0,2370.0,2370.0,2370.0,2370.0,2370.0,2370.0,2370.0,2370.0,2370.0,2370.0,2370.0,2370.0,2370.0,2370.0,2370.0
Peak_5,3810.0,3810.0,3810.0,3810.0,3810.0,3810.0,3810.0,3810.0,3810.0,3810.0,3810.0,3810.0,3810.0,3810.0,3810.0,3810.0,3810.0,3810.0,3810.0,3810.0,3810.0,3810.0,3810.0,3810.0
Peak_10,5471.999999999998,5471.999999999998,5471.999999999998,5471.999999999998,5471.999999999998,5471.999999999998,5471.999999999998,5471.999999999998,5471.999999999998,5471.999999999998,5471.999999999998,5471.999999999998,5471.999999999998,5471.999999999998,5471.999999999998,5471.999999999998,5471.999999999998,5471.999999999998,5471.999999999998,5471.999999999998,5471.999999999998,5471.999999999998,5471.999999999998,5471.999999999998
