Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
FA_Mag,nan,42.97858457621278,95.98853716200674,110.95533031725476,nan,31.00750990057909,25.99478965761262,37.99808358510785,nan,nan,nan,223.98332807995845,675.9509165492361,55.93030421207548,25.990948252835707,nan,nan,55.97843812058848,34.9971963876781,50.99530430350737,64.99308071819584,43.00124341429581,137.94593376082585,295.97800368541533,42.006372052999616,90.96559116613612,nan,68.99266870269274,497.7286962979531,120.94914030336037,136.99885409868932,123.97732215006135,71.0233411698042,nan,43.99401528188202,33.99635746478813,nan,nan,17.997371698419478,29.94948806724104,22.996212396140336,51.97761112686787,55.99483389356955,79.97569356038878,24.91573619990736,323.9080591965542,62.996025606360384,218.94752886569972,257.94937571637513,53.99505202276201,45.984439476019894,33.9890605665185,nan,nan,213.96471444280047,99.08315061421261,nan,17.599718963726563,75.87640878190197,nan,73.08941035550639,96.37677810779844,nan,nan,18.803678542538727
FA_Tim,nan,24.0,45.0,44.0,nan,44.0,29.0,12.0,nan,nan,nan,62.0,12.0,10.0,28.0,nan,nan,60.0,33.0,15.0,35.0,42.0,14.0,47.0,28.0,9.0,nan,52.0,51.0,24.0,64.0,27.0,25.0,nan,16.0,20.0,nan,nan,44.0,20.0,75.0,25.0,29.0,71.0,4.0,72.0,28.0,56.0,60.0,49.0,9.0,29.0,nan,nan,18.0,62.0,nan,12.0,32.0,nan,51.0,4.0,nan,nan,31.0
FA_Dur,nan,3.0,2.0,2.0,nan,5.0,5.0,5.0,nan,nan,nan,4.0,3.0,3.0,10.0,nan,nan,4.0,2.0,3.0,8.0,3.0,2.0,2.0,3.0,6.0,nan,2.0,3.0,7.0,8.0,6.0,2.0,nan,3.0,7.0,nan,nan,2.0,4.0,1.0,7.0,6.0,7.0,3.0,3.0,2.0,4.0,4.0,4.0,7.0,8.0,nan,nan,7.0,2.0,nan,2.0,4.0,nan,6.0,2.0,nan,nan,2.0
Wet_BFL_Mag_10,21.0,177.8,56.0,31.0,19.3,29.0,22.0,184.8,16.0,32.6,13.0,18.0,28.3,30.0,57.1,38.0,43.6,18.0,145.80000000000004,45.800000000000004,43.0,18.0,46.0,72.0,29.700000000000003,nan,7.76,120.7,86.80000000000001,137.2,21.400000000000002,110.89999999999999,74.0,67.1,26.7,119.0,32.0,14.0,19.6,12.0,7.6,18.0,163.90000000000003,20.200000000000003,126.0,99.7,127.00000000000003,189.7,87.0,47.000000000000014,57.9,61.72,25.900000000000002,30.5,48.980000000000004,64.35,20.7,14.25,23.39,34.54,58.88,30.74,14.399999999999999,11.6,20.740000000000006
Wet_BFL_Mag_50,131.0,306.0,89.0,86.0,58.5,271.0,43.0,516.0,41.0,54.0,21.0,188.5,213.5,44.0,98.0,81.0,169.0,55.0,657.5,169.0,72.0,44.0,241.0,179.0,348.5,nan,11.0,353.0,160.0,287.0,83.0,242.0,463.0,113.5,51.5,528.0,48.0,26.0,35.0,22.0,135.0,113.0,348.0,34.0,257.0,223.0,475.5,321.0,145.0,452.0,110.5,81.0,91.5,70.5,256.0,171.0,27.4,124.5,72.4,173.0,183.0,47.8,66.25,25.9,46.6
Wet_Tim,21.0,79.0,57.0,98.0,34.0,58.0,92.0,111.0,82.0,97.0,25.0,107.0,111.0,31.0,74.0,39.0,42.0,97.0,100.0,73.0,48.0,68.0,37.0,73.0,115.0,nan,63.0,72.0,94.0,77.0,107.0,77.0,44.0,37.0,24.0,118.0,115.0,36.0,73.0,90.0,144.0,84.0,85.0,108.0,89.0,103.0,63.0,90.0,104.0,104.0,96.0,50.0,32.0,57.0,63.0,74.0,54.0,86.0,110.0,6.0,74.0,105.0,43.0,121.0,52.0
Wet_BFL_Dur,141.0,95.0,156.0,115.0,174.0,92.0,143.0,77.0,63.0,117.0,209.0,54.0,90.0,191.0,122.0,93.0,167.0,71.0,52.0,85.0,151.0,65.0,139.0,114.0,62.0,nan,194.0,138.0,89.0,115.0,69.0,120.0,171.0,132.0,158.0,52.0,46.0,173.0,107.0,53.0,35.0,95.0,64.0,103.0,127.0,44.0,58.0,130.0,94.0,59.0,110.0,129.0,187.0,96.0,115.0,116.0,165.0,66.0,48.0,193.0,105.0,95.0,46.0,67.0,83.0
Peak_2,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0
Peak_5,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0,2748.0
Peak_10,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0
