Year,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985
FA_Mag,nan,4.093755693349415,nan,5.556230839930111,10.851002575172673,1.782495571270663,1.6182136666597133,2.2486442418792456,3.5005210782689953,10.011819448735762,2.582650432468629,9.997051246766391,nan,5.198729393502207
FA_Tim,nan,9.0,nan,27.0,9.0,0.0,35.0,43.0,19.0,64.0,27.0,25.0,nan,15.0
FA_Dur,nan,2.0,nan,5.0,4.0,10.0,1.0,4.0,6.0,4.0,7.0,6.0,nan,1.0
Wet_BFL_Mag_10,1.1,0.96,4.0600000000000005,5.6,nan,nan,4.0,1.7900000000000003,3.2,1.2,8.92,3.6,3.1,1.9
Wet_BFL_Mag_50,2.1,6.4,10.0,15.0,nan,nan,13.0,6.4,13.0,3.4,25.0,37.0,14.5,2.8
Wet_Tim,30.0,30.0,32.0,119.0,nan,nan,70.0,93.0,78.0,105.0,77.0,74.0,26.0,34.0
Wet_BFL_Dur,181.0,124.0,154.0,74.0,nan,nan,141.0,90.0,83.0,70.0,119.0,139.0,64.0,148.0
Peak_2,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0
Peak_5,352.2,352.2,352.2,352.2,352.2,352.2,352.2,352.2,352.2,352.2,352.2,352.2,352.2,352.2
Peak_10,431.90000000000015,431.90000000000015,431.90000000000015,431.90000000000015,431.90000000000015,431.90000000000015,431.90000000000015,431.90000000000015,431.90000000000015,431.90000000000015,431.90000000000015,431.90000000000015,431.90000000000015,431.90000000000015
Peak_Dur_2,nan,6.0,1.0,nan,nan,nan,3.0,nan,6.0,nan,8.0,10.0,1.0,nan
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,6.0,1.0,nan,nan
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,4.0,nan,nan,nan
Peak_Fre_2,nan,5.0,1.0,nan,nan,nan,3.0,nan,2.0,nan,5.0,5.0,1.0,nan
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,5.0,1.0,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,4.0,nan,nan,nan
SP_Mag,2.1,77.0,170.0,20.0,5.4,1.4,17.0,35.0,54.0,133.0,510.0,183.0,99.0,43.0
SP_Tim,211.0,154.0,186.0,193.0,194.0,232.0,211.0,183.0,161.0,175.0,196.0,213.0,90.0,182.0
SP_Dur,71.0,51.0,147.0,48.0,153.0,63.0,44.0,67.0,126.0,52.0,27.0,128.0,196.0,47.0
SP_ROC,0.15078671328671328,0.054921968787515,0.0638297872340425,0.04909638554216872,0.0965116279069767,0.08571428571428563,0.03809869375907113,0.0555555555555556,0.046511627906976785,0.060661764705882346,0.08012820512820512,0.03798076923076922,0.05633802816901401,0.06155303030303029
DS_Mag_50,0.58,1.3,2.4,nan,nan,0.61,1.2,1.4,1.2,0.97,3.5,3.0,1.7,1.4
DS_Mag_90,1.5700000000000003,4.0,3.0,nan,nan,1.0,2.770000000000002,1.7000000000000002,2.270000000000002,3.3,8.0,3.8,1.9700000000000002,1.9
DS_Tim,282.0,205.0,333.0,241.0,347.0,295.0,255.0,250.0,287.0,227.0,223.0,341.0,286.0,229.0
DS_Dur_WS,114.0,193.0,152.0,nan,nan,141.0,204.0,194.0,184.0,216.0,217.0,51.0,114.0,171.0
