Year,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986
FA_Mag,14.998862796312807,nan,2.6746518895700007,7.791778186551101,26.99513137290971,5.402323220236617,nan,6.527208801857462,nan,nan,9.438481060941921,1.6488796273381956,1.594803456085459,1.4453755344165502,10.981107514743583,8.177455485595178,1.5113570887392545,14.992025875683625,nan,2.8932895054937724,4.9181210232952965
FA_Tim,43.0,nan,44.0,11.0,14.0,22.0,nan,11.0,nan,nan,8.0,0.0,35.0,42.0,18.0,63.0,6.0,24.0,nan,9.0,21.0
FA_Dur,3.0,nan,4.0,3.0,2.0,6.0,nan,2.0,nan,nan,5.0,1.0,4.0,7.0,4.0,2.0,2.0,5.0,nan,3.0,4.0
Wet_BFL_Mag_10,2.45,1.55,1.2,4.72,2.77,1.2400000000000002,0.77,3.75,nan,nan,0.45000000000000007,0.14,4.23,0.38,2.38,1.0570000000000002,3.67,3.17,2.3,1.7,1.6
Wet_BFL_Mag_50,7.5,6.25,5.1,27.0,10.0,7.0,2.0,15.0,nan,nan,0.78,0.38,10.0,3.9,14.0,3.1500000000000004,10.5,20.5,5.7,4.7,12.0
Wet_Tim,79.0,32.0,94.0,60.0,71.0,47.0,37.0,29.0,nan,nan,13.0,32.0,67.0,90.0,71.0,105.0,68.0,40.0,35.0,29.0,50.0
Wet_BFL_Dur,86.0,216.0,75.0,95.0,88.0,133.0,173.0,146.0,nan,nan,195.0,146.0,134.0,58.0,89.0,70.0,128.0,138.0,137.0,152.0,119.0
Peak_2,268.0,268.0,268.0,268.0,268.0,268.0,268.0,268.0,nan,nan,268.0,268.0,268.0,268.0,268.0,268.0,268.0,268.0,268.0,268.0,268.0
Peak_5,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,nan,nan,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
Peak_10,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,nan,nan,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0
Peak_Dur_2,1.0,1.0,nan,nan,2.0,1.0,nan,4.0,nan,nan,nan,nan,nan,1.0,1.0,nan,5.0,1.0,nan,1.0,2.0
Peak_Dur_5,nan,1.0,nan,nan,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0
Peak_Dur_10,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan
Peak_Fre_2,1.0,1.0,nan,nan,2.0,1.0,nan,3.0,nan,nan,nan,nan,nan,1.0,1.0,nan,3.0,1.0,nan,1.0,1.0
Peak_Fre_5,nan,1.0,nan,nan,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0
Peak_Fre_10,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan
SP_Mag,21.0,36.0,20.0,38.0,28.0,96.0,5.6,22.0,nan,nan,0.75,6.5,18.0,120.0,30.0,141.0,112.0,90.0,10.0,71.0,139.0
SP_Tim,165.0,248.0,169.0,155.0,159.0,180.0,210.0,175.0,nan,nan,208.0,178.0,201.0,148.0,160.0,175.0,196.0,178.0,172.0,181.0,169.0
SP_Dur,40.0,37.0,35.0,107.0,29.0,32.0,51.0,35.0,nan,nan,142.0,87.0,45.0,20.0,96.0,38.0,27.0,74.0,102.0,35.0,17.0
SP_ROC,0.07577497129735933,0.078125,0.07037037037037043,0.10081053698074978,0.08000000000000007,0.08333333333333341,0.09375000000000008,0.07692307692307689,nan,nan,0.13793103448275856,0.22204081632653058,0.07142857142857142,0.1145833333333333,0.07692307692307698,0.07142857142857134,0.06847426470588232,0.08510638297872347,0.08333333333333323,0.06666666666666672,0.09292763157894737
DS_Mag_50,0.4,0.74,0.31,0.42,0.3,0.33,0.185,nan,nan,nan,0.03,0.0,0.31,0.5,0.21,0.11,0.59,0.6,0.32,0.32,0.45
DS_Mag_90,1.4,1.4,1.7,0.69,1.5,1.3,0.9460000000000005,nan,nan,nan,0.22200000000000017,0.34600000000000025,0.9109999999999999,3.4200000000000017,0.49599999999999994,2.4,1.8800000000000012,1.1,0.58,1.1099999999999994,2.0099999999999993
DS_Tim,205.0,285.0,204.0,262.0,188.0,212.0,261.0,210.0,nan,nan,350.0,265.0,246.0,168.0,256.0,213.0,223.0,252.0,274.0,216.0,186.0
DS_Dur_WS,193.0,175.0,222.0,175.0,225.0,191.0,134.0,nan,nan,nan,48.0,168.0,210.0,269.0,215.0,221.0,183.0,149.0,121.0,200.0,230.0
