Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983
FA_Mag,4.674380394964,39.997709128938816,16.991381791186253,1.205821322977306,1.8076415007312547,nan,nan,2.7780034398844253,nan,nan,nan,3.818217783303188,nan,nan,1.0592530951548462,nan,nan,1.6688872240922734,1.5019684856071158,4.786655930677973,1.8550480970495364,nan,2.6434421198247677,3.3967088518927544,6.189603544672479,nan,1.2043995187345127,nan,nan,nan,5.1958941854937475,5.323831919913486,717.9343563417261
FA_Tim,25.0,50.0,45.0,41.0,45.0,nan,nan,65.0,nan,nan,nan,56.0,nan,nan,40.0,nan,nan,52.0,45.0,15.0,35.0,nan,42.0,47.0,25.0,nan,0.0,nan,nan,nan,64.0,44.0,60.0
FA_Dur,10.0,30.0,12.0,9.0,6.0,nan,nan,3.0,nan,nan,nan,5.0,nan,nan,16.0,nan,nan,10.0,7.0,8.0,4.0,nan,3.0,4.0,7.0,nan,5.0,nan,nan,nan,32.0,5.0,3.0
Wet_BFL_Mag_10,1.4,7.32,1.19,0.1,1.4600000000000002,1.5,1.1,11.3,1.28,2.7,0.5,1.61,2.7,0.7,2.0,1.46,3.7,1.3,1.4,1.8599999999999999,1.3,0.8900000000000001,8.690000000000001,2.3,4.0200000000000005,0.7,nan,14.3,2.72,3.4,3.3400000000000003,15.0,4.4
Wet_BFL_Mag_50,2.1,33.0,7.85,11.0,6.3,4.9,1.6,97.0,5.1,3.9,1.3,77.0,9.2,1.1,9.2,2.3,22.0,2.2,281.0,5.0,13.0,2.1,74.0,8.45,11.0,1.4,nan,61.0,6.3,112.0,19.0,43.0,66.5
Wet_Tim,56.0,83.0,73.0,105.0,95.0,73.0,69.0,134.0,123.0,92.0,19.0,119.0,116.0,19.0,75.0,41.0,53.0,54.0,101.0,121.0,69.0,30.0,101.0,85.0,119.0,3.0,nan,84.0,129.0,128.0,146.0,149.0,74.0
Wet_BFL_Dur,139.0,88.0,30.0,79.0,59.0,48.0,193.0,54.0,20.0,122.0,227.0,42.0,90.0,239.0,120.0,53.0,153.0,134.0,50.0,87.0,40.0,92.0,74.0,72.0,72.0,253.0,nan,74.0,53.0,33.0,27.0,48.0,142.0
Peak_2,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0
Peak_5,2080.0000000000005,2080.0000000000005,2080.0000000000005,2080.0000000000005,2080.0000000000005,2080.0000000000005,2080.0000000000005,2080.0000000000005,2080.0000000000005,2080.0000000000005,2080.0000000000005,2080.0000000000005,2080.0000000000005,2080.0000000000005,2080.0000000000005,2080.0000000000005,2080.0000000000005,2080.0000000000005,2080.0000000000005,2080.0000000000005,2080.0000000000005,2080.0000000000005,2080.0000000000005,2080.0000000000005,2080.0000000000005,2080.0000000000005,2080.0000000000005,2080.0000000000005,2080.0000000000005,2080.0000000000005,2080.0000000000005,2080.0000000000005,2080.0000000000005
Peak_10,3354.0,3354.0,3354.0,3354.0,3354.0,3354.0,3354.0,3354.0,3354.0,3354.0,3354.0,3354.0,3354.0,3354.0,3354.0,3354.0,3354.0,3354.0,3354.0,3354.0,3354.0,3354.0,3354.0,3354.0,3354.0,3354.0,3354.0,3354.0,3354.0,3354.0,3354.0,3354.0,3354.0
Peak_Dur_2,nan,13.0,1.0,nan,nan,5.0,nan,13.0,nan,nan,nan,8.0,1.0,nan,2.0,1.0,9.0,nan,21.0,nan,nan,nan,7.0,1.0,nan,nan,nan,15.0,2.0,10.0,nan,5.0,16.0
Peak_Dur_5,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,6.0,nan,nan,nan,1.0,nan,nan,nan,nan,4.0,nan,1.0,nan,nan,nan
Peak_Dur_10,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan
Peak_Fre_2,nan,5.0,1.0,nan,nan,2.0,nan,6.0,nan,nan,nan,3.0,1.0,nan,2.0,1.0,6.0,nan,4.0,nan,nan,nan,4.0,1.0,nan,nan,nan,5.0,1.0,3.0,nan,3.0,6.0
Peak_Fre_5,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,4.0,nan,nan,nan,1.0,nan,nan,nan,nan,3.0,nan,1.0,nan,nan,nan
Peak_Fre_10,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan
SP_Mag,2.2,750.0,424.0,172.0,56.0,1470.0,2.2,2240.0,51.0,30.0,0.9,146.0,123.0,1.1,330.0,322.0,540.0,8.1,2390.0,27.0,142.0,6.0,315.0,369.0,20.0,0.82,0.65,3620.0,679.0,749.0,382.0,551.0,141.0
SP_Tim,195.0,171.0,103.0,184.0,154.0,121.0,262.0,188.0,143.0,214.0,246.0,161.0,206.0,258.0,195.0,94.0,206.0,188.0,151.0,208.0,109.0,122.0,175.0,157.0,191.0,256.0,257.0,158.0,182.0,161.0,173.0,197.0,216.0
