Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981
FA_Mag,16.996834858740772,3.0194726415596422,nan,nan,nan,nan,nan,5.854789840076137,15.996152879617032,nan,nan,1.8864187442227254,nan,nan,nan,nan,241.97618292911017,75.89983408447337,162.99839912054665,16.98345509411577,37.983403639836375,nan,9.414687211312916,nan,134.98240489662427,nan,26.932747735729755,nan,nan,9.50152724303117,nan
FA_Tim,0.0,50.0,nan,nan,nan,nan,nan,19.0,56.0,nan,nan,50.0,nan,nan,nan,nan,5.0,9.0,35.0,55.0,5.0,nan,60.0,nan,36.0,nan,3.0,nan,nan,22.0,nan
FA_Dur,4.0,8.0,nan,nan,nan,nan,nan,2.0,4.0,nan,nan,6.0,nan,nan,nan,nan,8.0,7.0,1.0,2.0,4.0,nan,4.0,nan,1.0,nan,2.0,nan,nan,2.0,nan
Wet_BFL_Mag_10,nan,1.3700000000000006,3.4800000000000004,5.0600000000000005,3.45,1.5,1.28,59.6,7.43,1.8,1.85,6.25,9.0,2.8,4.0,8.2,4.0,nan,3.77,0.5,3.5,2.52,14.800000000000004,5.4,7.9,3.0,nan,50.4,2.6600000000000006,20.0,2.0
Wet_BFL_Mag_50,nan,56.0,5.1,10.5,6.5,8.1,5.6,170.0,9.95,6.8,3.4,6.6,12.0,4.4,4.1,93.0,47.0,nan,297.5,5.6,47.5,3.3,148.5,9.3,9.3,3.8,nan,178.5,40.0,162.5,2.6
Wet_Tim,nan,97.0,85.0,127.0,176.0,112.0,147.0,119.0,114.0,16.0,25.0,121.0,121.0,41.0,172.0,40.0,56.0,nan,103.0,62.0,50.0,40.0,104.0,37.0,59.0,36.0,nan,98.0,102.0,117.0,142.0
Wet_BFL_Dur,nan,74.0,180.0,58.0,66.0,145.0,89.0,69.0,28.0,201.0,176.0,16.0,104.0,190.0,17.0,78.0,227.0,nan,48.0,96.0,94.0,53.0,74.0,173.0,157.0,101.0,nan,138.0,143.0,68.0,66.0
Peak_2,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0
Peak_5,2390.0,2390.0,2390.0,2390.0,2390.0,2390.0,2390.0,2390.0,2390.0,2390.0,2390.0,2390.0,2390.0,2390.0,2390.0,2390.0,2390.0,2390.0,2390.0,2390.0,2390.0,2390.0,2390.0,2390.0,2390.0,2390.0,2390.0,2390.0,2390.0,2390.0,2390.0
Peak_10,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0
