Year,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
FA_Mag,nan,142.99418488672245,97.979841184047,2829.784428163208,122.99514134497234,109.99946105238875,nan,nan,127.03099416583953,122.00133847418921,112.16916547088022,174.00468999700112,170.0210738467123,154.99589707946308,nan,182.98464293973302,nan,nan,176.99372779136104,nan,150.02778973444327,145.94034040340466,230.00112601847536,330.0131222006047,304.0593708246858,155.00385358673432,113.15167992249965,223.00306113535177
FA_Tim,nan,5.0,26.0,11.0,5.0,28.0,nan,nan,1.0,11.0,15.0,23.0,43.0,11.0,nan,28.0,nan,nan,3.0,nan,19.0,11.0,15.0,12.0,15.0,5.0,11.0,3.0
FA_Dur,nan,2.0,4.0,4.0,2.0,5.0,nan,nan,2.0,5.0,10.0,2.0,9.0,7.0,nan,10.0,nan,nan,2.0,nan,5.0,3.0,4.0,4.0,7.0,4.0,6.0,2.0
Wet_BFL_Mag_10,117.69999999999999,126.0,123.5,nan,133.5,147.0,126.0,138.0,155.0,159.3,159.4,191.0,91.0,77.40000000000002,191.0,156.9,123.4,51.0,169.0,30.0,161.0,125.80000000000001,164.0,342.0,171.1,111.0,193.0,120.60000000000001
Wet_BFL_Mag_50,289.0,317.0,379.5,nan,179.5,257.0,209.5,302.0,283.5,524.5,385.0,342.5,343.0,252.0,449.0,444.5,325.0,75.0,514.0,167.0,313.0,271.5,396.0,694.0,331.0,142.0,340.0,364.0
Wet_Tim,110.0,51.0,117.0,nan,27.0,49.0,32.0,39.0,100.0,97.0,73.0,37.0,100.0,41.0,16.0,127.0,173.0,9.0,51.0,27.0,84.0,86.0,34.0,104.0,27.0,27.0,103.0,111.0
Wet_BFL_Dur,138.0,197.0,106.0,nan,206.0,165.0,188.0,198.0,136.0,154.0,45.0,206.0,145.0,189.0,227.0,120.0,53.0,233.0,201.0,204.0,131.0,130.0,189.0,151.0,202.0,174.0,42.0,105.0
Peak_2,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
Peak_5,3016.000000000001,3016.000000000001,3016.000000000001,3016.000000000001,3016.000000000001,3016.000000000001,3016.000000000001,3016.000000000001,3016.000000000001,3016.000000000001,3016.000000000001,3016.000000000001,3016.000000000001,3016.000000000001,3016.000000000001,3016.000000000001,3016.000000000001,3016.000000000001,3016.000000000001,3016.000000000001,3016.000000000001,3016.000000000001,3016.000000000001,3016.000000000001,3016.000000000001,3016.000000000001,3016.000000000001,3016.000000000001
Peak_10,3976.0000000000005,3976.0000000000005,3976.0000000000005,3976.0000000000005,3976.0000000000005,3976.0000000000005,3976.0000000000005,3976.0000000000005,3976.0000000000005,3976.0000000000005,3976.0000000000005,3976.0000000000005,3976.0000000000005,3976.0000000000005,3976.0000000000005,3976.0000000000005,3976.0000000000005,3976.0000000000005,3976.0000000000005,3976.0000000000005,3976.0000000000005,3976.0000000000005,3976.0000000000005,3976.0000000000005,3976.0000000000005,3976.0000000000005,3976.0000000000005,3976.0000000000005
Peak_Dur_2,1.0,2.0,nan,7.0,nan,7.0,1.0,3.0,nan,nan,5.0,nan,nan,nan,11.0,nan,nan,nan,5.0,nan,3.0,1.0,5.0,24.0,nan,nan,10.0,nan
Peak_Dur_5,nan,nan,nan,1.0,nan,2.0,nan,nan,nan,nan,1.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,2.0,nan
Peak_Dur_10,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
Peak_Fre_2,1.0,1.0,nan,4.0,nan,2.0,1.0,2.0,nan,nan,1.0,nan,nan,nan,3.0,nan,nan,nan,2.0,nan,2.0,1.0,3.0,6.0,nan,nan,3.0,nan
Peak_Fre_5,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,2.0,nan
Peak_Fre_10,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
SP_Mag,613.0,832.0,908.0,1690.0,286.0,1160.0,876.0,1510.0,542.0,1160.0,3530.0,803.0,359.0,1290.0,1190.0,1310.0,667.0,174.0,915.0,811.0,863.0,715.0,860.0,1850.0,787.0,851.0,2150.0,762.0
SP_Tim,248.0,248.0,223.0,200.0,233.0,214.0,220.0,237.0,236.0,251.0,118.0,243.0,245.0,230.0,243.0,247.0,226.0,242.0,252.0,231.0,215.0,216.0,223.0,255.0,229.0,201.0,145.0,216.0
