Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982
FA_Mag,nan,6.568013366245222,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.9682057683583,nan,4.348863814715553,nan,nan,36.96755297263101,nan,nan,14.932291524676126,nan,nan,nan,nan,nan,nan,nan,nan,24.97319604690366,nan,nan,20.965999520587708
FA_Tim,nan,65.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,50.0,nan,17.0,nan,nan,37.0,nan,nan,36.0,nan,nan,nan,nan,nan,nan,nan,nan,51.0,nan,nan,58.0
FA_Dur,nan,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,4.0,nan,nan,13.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,4.0
Wet_BFL_Mag_10,2.1,6.26,3.06,3.8,2.6,2.0,1.8,3.7,3.0,2.6,2.1,2.84,1.9,1.9,1.9,2.42,5.0,4.2,4.3100000000000005,4.4,4.9,nan,nan,nan,nan,nan,nan,4.75,10.0,11.1,7.5,5.8
Wet_BFL_Mag_50,2.4,9.6,5.0,6.1,3.6,2.0,2.2,15.0,3.5,2.8,2.4,2.9,2.0,2.3,8.7,16.0,7.8,6.5,34.0,5.35,7.0,nan,nan,nan,nan,nan,nan,91.5,15.5,23.5,8.1,6.8
Wet_Tim,9.0,85.0,33.0,98.0,30.0,103.0,89.0,112.0,123.0,53.0,22.0,120.0,118.0,42.0,172.0,40.0,53.0,32.0,103.0,92.0,48.0,nan,nan,nan,nan,nan,nan,122.0,69.0,113.0,58.0,83.0
Wet_BFL_Dur,147.0,87.0,69.0,81.0,85.0,19.0,19.0,77.0,19.0,57.0,100.0,18.0,18.0,145.0,21.0,53.0,154.0,131.0,48.0,66.0,38.0,nan,nan,nan,nan,nan,nan,36.0,116.0,32.0,99.0,91.0
Peak_2,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,nan,nan,nan,nan,nan,nan,148.5,148.5,148.5,148.5,148.5
Peak_5,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,nan,nan,nan,nan,nan,nan,509.0,509.0,509.0,509.0,509.0
Peak_10,1860.0,1860.0,1860.0,1860.0,1860.0,1860.0,1860.0,1860.0,1860.0,1860.0,1860.0,1860.0,1860.0,1860.0,1860.0,1860.0,1860.0,1860.0,1860.0,1860.0,1860.0,nan,nan,nan,nan,nan,nan,1860.0,1860.0,1860.0,1860.0,1860.0
Peak_Dur_2,nan,7.0,nan,nan,nan,1.0,1.0,3.0,1.0,nan,nan,2.0,nan,nan,nan,6.0,2.0,nan,11.0,nan,2.0,nan,nan,nan,nan,nan,nan,27.0,nan,15.0,nan,1.0
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,2.0,nan,nan,nan,4.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,nan,nan,16.0,nan,7.0,nan,nan
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan
Peak_Fre_2,nan,3.0,nan,nan,nan,1.0,1.0,3.0,1.0,nan,nan,1.0,nan,nan,nan,3.0,2.0,nan,4.0,nan,2.0,nan,nan,nan,nan,nan,nan,7.0,nan,3.0,nan,1.0
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,2.0,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,3.0,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan
SP_Mag,3.8,88.0,6.2,26.0,14.0,22.0,472.0,133.0,229.0,7.9,3.7,785.0,12.0,9.9,113.0,2960.0,108.0,16.0,2180.0,25.0,45.0,nan,nan,nan,nan,nan,nan,2400.0,58.0,1060.0,15.0,10.0
SP_Tim,156.0,172.0,102.0,179.0,115.0,122.0,108.0,189.0,142.0,110.0,122.0,138.0,136.0,187.0,193.0,93.0,207.0,163.0,151.0,158.0,86.0,nan,nan,nan,nan,nan,nan,158.0,185.0,145.0,157.0,174.0
SP_Dur,154.0,65.0,252.0,128.0,240.0,180.0,80.0,51.0,27.0,215.0,177.0,24.0,103.0,107.0,21.0,110.0,66.0,103.0,28.0,123.0,242.0,nan,nan,nan,nan,nan,nan,51.0,75.0,43.0,113.0,135.0
SP_ROC,0.127016129032258,0.06066176470588235,0.07692307692307698,0.07944514501891554,0.07692307692307689,0.10344827586206891,0.07692307692307693,0.07692307692307693,0.07237386269644334,0.06451612903225812,0.08333333333333323,0.10717703349282293,0.08000000000000007,0.050000000000000044,0.08421985815602842,0.06458333333333333,0.0625,0.055555555555555684,0.06666666666666667,0.054545454545454515,0.06666666666666667,nan,nan,nan,nan,nan,nan,0.11757938334100322,0.045454545454545456,0.0625,0.06578947368421052,0.019607843137254832
DS_Mag_50,2.1,3.1,2.6,2.4,2.0,1.6,2.2,2.9,2.5,1.7,1.9,2.0,2.0,1.6,1.7,3.0,4.0,2.6,5.8,4.1,nan,nan,nan,nan,nan,nan,nan,6.9,6.7,7.85,5.3,4.7
DS_Mag_90,2.8,5.0,3.2,2.6,2.2,2.0,3.3,4.580000000000007,3.9,1.9,3.3,5.97000000000001,2.3,2.2,3.190000000000001,4.1,5.280000000000003,4.4,14.0,4.6,nan,nan,nan,nan,nan,nan,nan,15.5,7.8,17.0,5.8,5.8
DS_Tim,310.0,237.0,354.0,307.0,355.0,302.0,188.0,240.0,169.0,325.0,299.0,162.0,239.0,294.0,214.0,203.0,273.0,266.0,179.0,281.0,328.0,nan,nan,nan,nan,nan,nan,209.0,260.0,188.0,270.0,309.0
DS_Dur_WS,141.0,162.0,110.0,89.0,114.0,153.0,290.0,249.0,250.0,63.0,187.0,322.0,169.0,244.0,192.0,216.0,125.0,203.0,279.0,133.0,nan,nan,nan,nan,nan,nan,nan,226.0,219.0,236.0,179.0,140.0
