Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
FA_Mag,nan,15.940955788029838,60.89433183344697,nan,82.76009929961415,nan,nan,37.00156948165593,nan,nan,12.930775242460495,36.99163889416115,nan,15.033071993530953,nan,nan,62.99877524058043,nan,nan,59.95706373682243,nan,nan,22.99730032333249,58.7697374306628,69.84714716315057,nan,37.00151522918519,nan,nan
FA_Tim,nan,24.0,62.0,nan,41.0,nan,nan,33.0,nan,nan,9.0,50.0,nan,17.0,nan,nan,38.0,nan,nan,37.0,nan,nan,44.0,48.0,64.0,nan,22.0,nan,nan
FA_Dur,nan,7.0,4.0,nan,2.0,nan,nan,2.0,nan,nan,6.0,7.0,nan,4.0,nan,nan,7.0,nan,nan,7.0,nan,nan,1.0,7.0,6.0,nan,4.0,nan,nan
Wet_BFL_Mag_10,6.7,20.1,nan,43.0,27.1,24.3,18.6,46.0,20.0,12.0,12.0,25.6,14.0,14.0,13.0,38.5,74.0,36.6,25.6,27.0,15.5,12.0,20.799999999999997,47.0,18.0,11.0,21.0,119.1,83.0
Wet_BFL_Mag_50,11.0,126.0,nan,80.0,49.5,39.5,47.0,176.0,69.0,21.5,15.0,117.5,22.0,16.0,70.0,210.5,193.0,49.0,527.5,43.5,58.5,72.0,42.0,76.0,48.0,32.0,27.5,343.0,181.0
Wet_Tim,11.0,61.0,nan,105.0,85.0,106.0,92.0,71.0,125.0,66.0,26.0,118.0,112.0,32.0,175.0,40.0,54.0,39.0,102.0,129.0,49.0,73.0,104.0,89.0,117.0,121.0,87.0,96.0,93.0
Wet_BFL_Dur,209.0,132.0,nan,89.0,142.0,124.0,63.0,121.0,23.0,156.0,99.0,24.0,104.0,173.0,37.0,56.0,180.0,124.0,50.0,34.0,66.0,25.0,39.0,84.0,111.0,225.0,152.0,62.0,119.0
Peak_2,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0
Peak_5,1622.0000000000005,1622.0000000000005,1622.0000000000005,1622.0000000000005,1622.0000000000005,1622.0000000000005,1622.0000000000005,1622.0000000000005,1622.0000000000005,1622.0000000000005,1622.0000000000005,1622.0000000000005,1622.0000000000005,1622.0000000000005,1622.0000000000005,1622.0000000000005,1622.0000000000005,1622.0000000000005,1622.0000000000005,1622.0000000000005,1622.0000000000005,1622.0000000000005,1622.0000000000005,1622.0000000000005,1622.0000000000005,1622.0000000000005,1622.0000000000005,1622.0000000000005,1622.0000000000005
Peak_10,2661.9999999999995,2661.9999999999995,2661.9999999999995,2661.9999999999995,2661.9999999999995,2661.9999999999995,2661.9999999999995,2661.9999999999995,2661.9999999999995,2661.9999999999995,2661.9999999999995,2661.9999999999995,2661.9999999999995,2661.9999999999995,2661.9999999999995,2661.9999999999995,2661.9999999999995,2661.9999999999995,2661.9999999999995,2661.9999999999995,2661.9999999999995,2661.9999999999995,2661.9999999999995,2661.9999999999995,2661.9999999999995,2661.9999999999995,2661.9999999999995,2661.9999999999995,2661.9999999999995
