Year,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.3770573888182644,nan,nan,nan,nan,2.8021550657779812,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,54.0,nan,nan,nan,nan,1.0,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,2.0,nan,nan,nan
Wet_BFL_Mag_10,0.08000000000000007,nan,nan,0.0,0.0,0.0,nan,0.17,0.04,0.0,nan,0.0,nan,nan,nan,nan,2.0,0.78,1.66,0.47200000000000003,0.32,1.3,1.1,0.25,0.262,0.17
Wet_BFL_Mag_50,3.7,nan,nan,0.0,0.0,0.0,nan,16.0,0.065,0.0,nan,1.1,nan,nan,nan,nan,8.0,11.0,9.15,1.3,1.65,6.5,2.5,2.2,1.0,1.45
Wet_Tim,126.0,nan,nan,167.0,40.0,53.0,nan,106.0,140.0,62.0,nan,119.0,nan,nan,nan,nan,92.0,88.0,98.0,50.0,92.0,55.0,32.0,64.0,48.0,141.0
Wet_BFL_Dur,35.0,nan,nan,28.0,17.0,18.0,nan,46.0,20.0,35.0,nan,57.0,nan,nan,nan,nan,67.0,96.0,50.0,110.0,94.0,123.0,59.0,27.0,123.0,28.0
Peak_2,33.5,nan,nan,33.5,33.5,33.5,nan,33.5,33.5,33.5,nan,33.5,nan,nan,nan,nan,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5
Peak_5,257.0,nan,nan,257.0,257.0,257.0,nan,257.0,257.0,257.0,nan,257.0,nan,nan,nan,nan,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0
Peak_10,324.5,nan,nan,324.5,324.5,324.5,nan,324.5,324.5,324.5,nan,324.5,nan,nan,nan,nan,324.5,324.5,324.5,324.5,324.5,324.5,324.5,324.5,324.5,324.5
Peak_Dur_2,nan,nan,nan,nan,3.0,2.0,nan,12.0,1.0,nan,nan,nan,nan,nan,nan,nan,23.0,6.0,29.0,nan,7.0,32.0,1.0,1.0,5.0,nan
Peak_Dur_5,nan,nan,nan,nan,nan,1.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,6.0,nan,nan,1.0,nan,nan,1.0,nan
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,4.0,nan,nan,nan,nan,nan,1.0,nan
Peak_Fre_2,nan,nan,nan,nan,2.0,1.0,nan,3.0,1.0,nan,nan,nan,nan,nan,nan,nan,5.0,2.0,5.0,nan,3.0,10.0,1.0,1.0,2.0,nan
Peak_Fre_5,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,3.0,nan,nan,1.0,nan,nan,1.0,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,2.0,nan,nan,nan,nan,nan,1.0,nan
SP_Mag,27.0,nan,nan,28.0,164.0,116.0,nan,281.0,7.5,2.8,nan,9.3,nan,nan,nan,nan,220.0,59.0,440.0,10.0,29.0,143.0,19.0,15.0,57.0,2.2
SP_Tim,161.0,nan,nan,195.0,57.0,71.0,nan,152.0,160.0,97.0,nan,176.0,nan,nan,nan,nan,159.0,184.0,148.0,160.0,186.0,178.0,91.0,91.0,171.0,169.0
SP_Dur,33.0,nan,nan,20.0,172.0,162.0,nan,51.0,11.0,53.0,nan,37.0,nan,nan,nan,nan,17.0,81.0,200.0,141.0,66.0,157.0,251.0,213.0,44.0,156.0
SP_ROC,0.25000000000000006,nan,nan,0.2647058823529412,0.1250000000000001,0.25,nan,0.0769230769230769,0.04547803617571063,0.2727272727272727,nan,0.133974358974359,nan,nan,nan,nan,0.14285714285714285,0.040000000000000036,0.07692307692307698,0.07692307692307698,0.07255639097744353,0.08403954802259889,0.06250000000000006,0.06666666666666672,0.07692307692307698,0.10000000000000009
DS_Mag_50,nan,nan,nan,0.0,0.0,nan,nan,0.06,0.0,nan,nan,nan,nan,nan,nan,nan,0.05,0.16,0.8,0.15,0.31,1.0,0.19,0.16,0.13,0.08499999999999999
DS_Mag_90,nan,nan,nan,0.1,0.1,nan,nan,2.3800000000000012,0.24600000000000025,nan,nan,nan,nan,nan,nan,nan,6.5,0.39400000000000035,1.3,0.2,0.59,2.5,0.23000000000000004,0.19,0.43,0.25
DS_Tim,194.0,nan,nan,215.0,229.0,233.0,nan,203.0,171.0,150.0,nan,213.0,nan,nan,nan,nan,176.0,265.0,348.0,301.0,252.0,335.0,342.0,304.0,215.0,325.0
DS_Dur_WS,nan,nan,nan,191.0,190.0,nan,nan,303.0,257.0,nan,nan,nan,nan,nan,nan,nan,278.0,199.0,68.0,157.0,169.0,63.0,88.0,110.0,292.0,182.0
