Year,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.6562674845684946,nan,nan,nan,nan,9.284267556166999,nan,nan,nan,nan,nan,12.027945705052275,2.9007695778256566,4.544568222622525,nan,300.88309982592307,5.396434100068173,24.9641442462597,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,65.0,nan,nan,nan,nan,nan,45.0,20.0,65.0,nan,60.0,1.0,55.0,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,6.0,7.0,9.0,nan,3.0,4.0,13.0,nan
Wet_BFL_Mag_10,nan,17.6,0.2,0.0,nan,0.06000000000000005,0.1,0.1,0.7,0.33000000000000007,0.26,1.8,2.0,0.51,0.11000000000000001,0.0,1.7,1.0980000000000003,0.39,0.0,0.24,32.3,7.0,14.200000000000001,1.82,2.44,18.0,4.880000000000001,3.59,1.5
Wet_BFL_Mag_50,nan,70.0,2.3,2.1,nan,7.5,0.1,10.0,15.0,10.5,0.4,3.5,47.0,0.9,2.45,0.0,10.5,3.3,12.5,2.95,0.69,55.5,37.5,38.0,3.9,11.0,57.0,8.399999999999999,8.25,4.5
Wet_Tim,nan,154.0,125.0,95.0,nan,105.0,118.0,165.0,172.0,40.0,54.0,70.0,101.0,123.0,72.0,66.0,96.0,87.0,147.0,116.0,85.0,92.0,66.0,110.0,107.0,101.0,111.0,37.0,63.0,50.0
Wet_BFL_Dur,nan,34.0,19.0,60.0,nan,57.0,94.0,22.0,23.0,54.0,17.0,99.0,51.0,36.0,44.0,25.0,80.0,100.0,48.0,42.0,143.0,64.0,116.0,37.0,53.0,85.0,61.0,54.0,74.0,120.0
Peak_2,nan,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0
Peak_5,nan,646.0000000000003,646.0000000000003,646.0000000000003,646.0000000000003,646.0000000000003,646.0000000000003,646.0000000000003,646.0000000000003,646.0000000000003,646.0000000000003,646.0000000000003,646.0000000000003,646.0000000000003,646.0000000000003,646.0000000000003,646.0000000000003,646.0000000000003,646.0000000000003,646.0000000000003,646.0000000000003,646.0000000000003,646.0000000000003,646.0000000000003,646.0000000000003,646.0000000000003,646.0000000000003,646.0000000000003,646.0000000000003,646.0000000000003
Peak_10,nan,917.2000000000004,917.2000000000004,917.2000000000004,917.2000000000004,917.2000000000004,917.2000000000004,917.2000000000004,917.2000000000004,917.2000000000004,917.2000000000004,917.2000000000004,917.2000000000004,917.2000000000004,917.2000000000004,917.2000000000004,917.2000000000004,917.2000000000004,917.2000000000004,917.2000000000004,917.2000000000004,917.2000000000004,917.2000000000004,917.2000000000004,917.2000000000004,917.2000000000004,917.2000000000004,917.2000000000004,917.2000000000004,917.2000000000004
Peak_Dur_2,nan,14.0,nan,nan,nan,nan,nan,nan,1.0,2.0,7.0,nan,15.0,nan,nan,nan,4.0,1.0,nan,nan,nan,23.0,9.0,33.0,nan,5.0,31.0,2.0,4.0,5.0
Peak_Dur_5,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,7.0,nan,nan,nan,nan,nan,1.0
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,4.0,nan,nan,nan,nan,nan,nan,1.0,1.0,3.0,nan,4.0,nan,nan,nan,2.0,1.0,nan,nan,nan,5.0,4.0,5.0,nan,3.0,9.0,1.0,4.0,2.0
Peak_Fre_5,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,4.0,nan,nan,nan,nan,nan,1.0
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan
SP_Mag,nan,726.0,10.0,38.0,nan,21.0,4.8,63.0,118.0,94.0,690.0,8.9,342.0,31.0,11.0,7.9,123.0,81.0,48.0,16.0,6.6,888.0,626.0,1700.0,29.0,120.0,298.0,89.0,46.0,270.0
SP_Tim,nan,188.0,144.0,155.0,nan,162.0,212.0,187.0,195.0,94.0,71.0,169.0,152.0,159.0,116.0,91.0,176.0,187.0,195.0,158.0,228.0,156.0,182.0,147.0,160.0,186.0,172.0,91.0,137.0,170.0
