Year,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
FA_Mag,3.961632478899443,1.1850286649812563,9.40800233142308,8.620838161408777,2.021474934117911,nan,nan,2.2437841403280996,nan,nan,1.3676728623422143,12.986888645851922,1.7134218817270075,2.4860499637315585,nan,nan,24.532216873227284,2.4411135201776952,nan,nan,nan,nan,nan
FA_Tim,71.0,4.0,72.0,28.0,45.0,nan,nan,25.0,nan,nan,74.0,18.0,62.0,70.0,nan,nan,12.0,51.0,nan,nan,nan,nan,nan
FA_Dur,4.0,5.0,7.0,2.0,3.0,nan,nan,6.0,nan,nan,2.0,7.0,2.0,3.0,nan,nan,6.0,8.0,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,0.91,6.22,1.35,1.4300000000000002,4.26,1.83,0.6870000000000003,2.05,0.52,0.589,0.44,7.542,1.432,nan,0.3810000000000008,0.696,1.2,6.101,nan,0.0,0.12,0.069,nan
Wet_BFL_Mag_50,1.5,15.0,4.300000000000001,5.6,24.5,3.1,4.300000000000001,6.15,2.0,1.6,1.005,15.8,2.56,nan,7.5249999999999995,2.485,10.8,11.9,nan,0.79,0.14,0.45,nan
Wet_Tim,105.0,92.0,103.0,61.0,105.0,102.0,101.0,126.0,31.0,29.0,78.0,79.0,71.0,nan,88.0,109.0,100.0,75.0,nan,19.0,129.0,49.0,nan
Wet_BFL_Dur,42.0,85.0,56.0,64.0,44.0,94.0,52.0,36.0,67.0,190.0,76.0,97.0,122.0,nan,62.0,50.0,59.0,108.0,nan,73.0,27.0,90.0,nan
Peak_2,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,nan,27.0,27.0,27.0,nan
Peak_5,56.50000000000001,56.50000000000001,56.50000000000001,56.50000000000001,56.50000000000001,56.50000000000001,56.50000000000001,56.50000000000001,56.50000000000001,56.50000000000001,56.50000000000001,56.50000000000001,56.50000000000001,56.50000000000001,56.50000000000001,56.50000000000001,56.50000000000001,56.50000000000001,nan,56.50000000000001,56.50000000000001,56.50000000000001,nan
Peak_10,93.74000000000001,93.74000000000001,93.74000000000001,93.74000000000001,93.74000000000001,93.74000000000001,93.74000000000001,93.74000000000001,93.74000000000001,93.74000000000001,93.74000000000001,93.74000000000001,93.74000000000001,93.74000000000001,93.74000000000001,93.74000000000001,93.74000000000001,93.74000000000001,nan,93.74000000000001,93.74000000000001,93.74000000000001,nan
Peak_Dur_2,nan,33.0,1.0,5.0,38.0,nan,2.0,2.0,nan,nan,1.0,22.0,4.0,nan,4.0,nan,3.0,23.0,nan,nan,nan,nan,nan
Peak_Dur_5,nan,8.0,nan,nan,8.0,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,1.0,2.0,nan,nan,nan,nan,nan
Peak_Dur_10,nan,4.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,4.0,1.0,2.0,5.0,nan,2.0,1.0,nan,nan,1.0,7.0,2.0,nan,3.0,nan,2.0,3.0,nan,nan,nan,nan,nan
Peak_Fre_5,nan,5.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,2.0,nan,nan,nan,nan,nan
Peak_Fre_10,nan,4.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SP_Mag,4.7,100.0,19.0,22.0,54.0,13.0,26.0,18.0,4.9,5.05,8.66,34.8,20.5,1.67,34.8,9.82,13.0,39.0,nan,4.55,3.55,1.34,nan
SP_Tim,147.0,177.0,159.0,125.0,149.0,196.0,153.0,162.0,98.0,219.0,154.0,176.0,193.0,155.0,150.0,159.0,159.0,183.0,nan,92.0,156.0,139.0,nan
SP_Dur,170.0,72.0,145.0,164.0,166.0,135.0,146.0,125.0,201.0,94.0,112.0,107.0,147.0,152.0,96.0,152.0,175.0,141.0,nan,158.0,107.0,141.0,nan
SP_ROC,0.05172413793103434,0.035098522167487683,0.04279176201372992,0.0285714285714286,0.044466403162055336,0.03225806451612906,0.05882352941176463,0.06312226204699325,0.051495645588791994,0.04530791788856309,0.05064102564102568,0.02830188679245273,0.025278058645096056,0.058823529411764754,0.032408175161940445,0.040000000000000036,0.023182297154899962,0.02131445445597032,nan,0.03347338935574233,0.07692307692307698,0.10810810810810806,nan
DS_Mag_50,0.19,1.55,1.0,0.93,2.3,0.57,0.63,0.715,0.03,0.24,0.11,0.77,nan,0.1,0.39,0.66,0.74,nan,nan,0.07,0.0,nan,nan
DS_Mag_90,0.47,5.809999999999999,1.4,2.5900000000000007,3.360000000000002,0.66,2.0,0.8610000000000001,0.095,0.41,0.9540000000000004,1.5,nan,0.2,1.04,1.4239999999999997,0.9600000000000002,nan,nan,0.16599999999999995,0.0,nan,nan
DS_Tim,317.0,249.0,304.0,289.0,315.0,331.0,299.0,287.0,299.0,313.0,266.0,283.0,340.0,307.0,246.0,311.0,334.0,324.0,nan,250.0,263.0,280.0,nan
DS_Dur_WS,141.0,220.0,123.0,182.0,153.0,136.0,193.0,110.0,96.0,131.0,179.0,154.0,nan,147.0,229.0,155.0,107.0,nan,nan,245.0,152.0,nan,nan
