Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977
FA_Mag,nan,5.664828339599398,nan,2.866048718729384,nan,nan,nan,nan,nan,nan,nan,3.7212300821137014,nan,9.651760575608918,10.875435476826045,nan,53.96843392288027,nan,nan,43.946957603998676,nan,nan,10.999328320530601,30.891267087859728,78.87394233441837,11.997488982388493,7.575097683770241
FA_Tim,nan,24.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,51.0,nan,50.0,39.0,nan,37.0,nan,nan,37.0,nan,nan,18.0,48.0,2.0,0.0,0.0
FA_Dur,nan,2.0,nan,8.0,nan,nan,nan,nan,nan,nan,nan,3.0,nan,8.0,3.0,nan,7.0,nan,nan,9.0,nan,nan,7.0,2.0,2.0,2.0,4.0
Wet_BFL_Mag_10,1.9,13.0,nan,2.560000000000001,nan,nan,1.7,22.400000000000002,2.2,nan,0.5,3.0,0.9,nan,1.2,17.0,18.0,8.6,13.8,17.0,5.03,3.7,3.55,3.2,nan,2.0300000000000002,4.0
Wet_BFL_Mag_50,3.0,60.0,nan,8.7,nan,nan,3.2,63.0,23.0,nan,1.8,44.5,1.2,nan,4.35,56.0,44.0,101.5,390.5,25.5,77.0,10.0,75.0,17.0,nan,17.0,7.2
Wet_Tim,12.0,85.0,nan,104.0,nan,nan,88.0,113.0,125.0,nan,20.0,122.0,117.0,nan,170.0,41.0,56.0,42.0,104.0,123.0,49.0,75.0,122.0,86.0,nan,120.0,86.0
Wet_BFL_Dur,143.0,99.0,nan,52.0,nan,nan,189.0,77.0,19.0,nan,102.0,18.0,20.0,nan,24.0,56.0,157.0,16.0,50.0,40.0,24.0,24.0,22.0,81.0,nan,110.0,141.0
Peak_2,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0
Peak_5,957.2,957.2,957.2,957.2,957.2,957.2,957.2,957.2,957.2,957.2,957.2,957.2,957.2,957.2,957.2,957.2,957.2,957.2,957.2,957.2,957.2,957.2,957.2,957.2,957.2,957.2,957.2
Peak_10,1784.0000000000005,1784.0000000000005,1784.0000000000005,1784.0000000000005,1784.0000000000005,1784.0000000000005,1784.0000000000005,1784.0000000000005,1784.0000000000005,1784.0000000000005,1784.0000000000005,1784.0000000000005,1784.0000000000005,1784.0000000000005,1784.0000000000005,1784.0000000000005,1784.0000000000005,1784.0000000000005,1784.0000000000005,1784.0000000000005,1784.0000000000005,1784.0000000000005,1784.0000000000005,1784.0000000000005,1784.0000000000005,1784.0000000000005,1784.0000000000005
Peak_Dur_2,nan,31.0,nan,1.0,nan,1.0,nan,25.0,nan,nan,nan,11.0,nan,nan,nan,22.0,25.0,3.0,77.0,1.0,2.0,nan,7.0,1.0,nan,nan,1.0
Peak_Dur_5,nan,2.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,3.0,nan,nan,nan,5.0,nan,nan,12.0,nan,nan,nan,1.0,nan,nan,nan,nan
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,3.0,nan,nan,7.0,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,5.0,nan,1.0,nan,1.0,nan,5.0,nan,nan,nan,2.0,nan,nan,nan,3.0,3.0,1.0,4.0,1.0,1.0,nan,2.0,1.0,nan,nan,1.0
Peak_Fre_5,nan,2.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,2.0,nan,nan,4.0,nan,nan,nan,1.0,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,2.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan
