Year,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
FA_Mag,16.96970453412497,nan,nan,8.105308725557911,5.885964141005084,2.8709240481645537,nan,16.994693767867332,6.8759979407546075,nan,151.93626536711508,42.94897687528925,22.916304918025645,6.699326002246093,7.693530776516886,2.261775394090974,11.968020037638707,14.921062575539713,nan,19.884495394583872,8.19806919517624,5.065176818959172,10.939301464615278,12.979554129277139,nan,5.998144062999701,11.001732648574924,16.9827629301712,nan,2.2786786603125555,32.69844537208477,5.6507317924438745,nan,2.9994154988389767,5.26785404686562,5.339118553841336,3.883900918361649,20.074724356490915,125.75873347051801,6.66349254457267,nan,1.030773430593576,1.1963796203195918
FA_Tim,34.0,nan,nan,10.0,1.0,51.0,nan,18.0,64.0,nan,25.0,31.0,32.0,22.0,5.0,43.0,43.0,22.0,nan,25.0,29.0,4.0,36.0,64.0,nan,56.0,54.0,27.0,nan,29.0,38.0,67.0,nan,28.0,33.0,19.0,3.0,12.0,23.0,4.0,nan,33.0,25.0
FA_Dur,5.0,nan,nan,2.0,8.0,2.0,nan,2.0,5.0,nan,2.0,3.0,5.0,5.0,4.0,5.0,5.0,6.0,nan,6.0,4.0,2.0,5.0,5.0,nan,4.0,3.0,6.0,nan,9.0,7.0,3.0,nan,3.0,3.0,2.0,5.0,1.0,3.0,2.0,nan,4.0,2.0
Wet_BFL_Mag_10,15.399999999999999,14.0,31.400000000000002,4.4,7.200000000000003,24.0,24.1,12.0,11.0,16.0,35.400000000000006,16.0,26.0,38.0,11.0,9.44,11.0,23.6,5.2,9.45,11.600000000000001,3.5300000000000002,25.9,20.0,13.0,16.0,23.600000000000005,18.400000000000002,7.700000000000003,25.140000000000004,16.9,8.196,31.840000000000003,19.0,10.23,11.66,17.64,15.18,49.02,17.05,6.91,5.841000000000001,4.426000000000002
Wet_BFL_Mag_50,63.0,26.0,136.0,8.5,17.0,57.5,62.0,23.0,40.0,46.5,215.0,33.0,69.0,65.5,56.0,21.0,62.0,44.0,21.5,22.5,54.5,19.0,80.5,41.0,31.0,70.0,97.0,62.0,29.0,65.3,32.1,43.9,74.0,43.4,27.0,40.4,32.55,52.2,100.0,27.35,14.2,19.8,11.4
Wet_Tim,182.0,33.0,216.0,15.0,178.0,173.0,189.0,92.0,171.0,39.0,211.0,31.0,178.0,124.0,175.0,141.0,141.0,164.0,149.0,137.0,152.0,142.0,152.0,118.0,42.0,163.0,190.0,162.0,161.0,173.0,156.0,153.0,195.0,72.0,125.0,177.0,163.0,187.0,193.0,163.0,39.0,126.0,40.0
Wet_BFL_Dur,53.0,252.0,37.0,215.0,69.0,80.0,48.0,145.0,70.0,226.0,52.0,208.0,61.0,122.0,51.0,97.0,81.0,84.0,100.0,86.0,94.0,84.0,120.0,115.0,185.0,99.0,72.0,78.0,69.0,73.0,88.0,69.0,47.0,180.0,102.0,57.0,70.0,67.0,75.0,54.0,189.0,98.0,200.0
Peak_2,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0
Peak_5,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4,354.4
Peak_10,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001
Peak_Dur_2,2.0,3.0,13.0,nan,nan,nan,nan,3.0,nan,11.0,41.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan,1.0,nan,7.0,4.0,4.0,4.0,5.0,2.0,nan,nan,2.0,nan,14.0,18.0,nan,nan,2.0,5.0,12.0,1.0,1.0,nan,nan
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,1.0,nan,5.0,2.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,2.0,nan,nan,nan,nan,nan,nan,nan,3.0,2.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan
