Year,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981
FA_Mag,nan,6.408518825543473,nan,nan,15.441517311844022,2.0955102328671003,nan,3.169258133477254,nan,1.882098607760843,nan,nan,nan,nan,nan,nan,3.2038488140473738,nan,3.984933900889919,nan,nan,nan
FA_Tim,nan,36.0,nan,nan,16.0,28.0,nan,63.0,nan,13.0,nan,nan,nan,nan,nan,nan,11.0,nan,35.0,nan,nan,nan
FA_Dur,nan,5.0,nan,nan,3.0,12.0,nan,8.0,nan,2.0,nan,nan,nan,nan,nan,nan,3.0,nan,2.0,nan,nan,nan
Wet_BFL_Mag_10,0.8,0.4,0.6,1.1,nan,0.8,0.5,nan,1.2,0.9,nan,1.5,1.8,1.2,1.9,2.0,nan,0.825,3.7,5.0,3.31,4.8
Wet_BFL_Mag_50,1.0,0.5,0.7,1.5,nan,1.0,0.7,nan,1.5,2.8499999999999996,nan,1.5,1.9,1.7,2.2,2.1,nan,1.2,6.3,7.6,5.3,5.7
Wet_Tim,62.0,295.0,20.0,65.0,nan,79.0,35.0,nan,6.0,105.0,nan,31.0,50.0,29.0,28.0,20.0,nan,10.0,125.0,10.0,96.0,65.0
Wet_BFL_Dur,151.0,17.0,213.0,96.0,nan,118.0,140.0,nan,50.0,152.0,nan,32.0,40.0,267.0,159.0,48.0,nan,246.0,121.0,227.0,162.0,90.0
Peak_2,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
Peak_5,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
Peak_10,80.10000000000002,80.10000000000002,80.10000000000002,80.10000000000002,80.10000000000002,80.10000000000002,80.10000000000002,80.10000000000002,80.10000000000002,80.10000000000002,80.10000000000002,80.10000000000002,80.10000000000002,80.10000000000002,80.10000000000002,80.10000000000002,80.10000000000002,80.10000000000002,80.10000000000002,80.10000000000002,80.10000000000002,80.10000000000002
Peak_Dur_2,nan,2.0,nan,nan,1.0,nan,nan,nan,nan,2.0,nan,nan,1.0,1.0,nan,2.0,2.0,nan,120.0,5.0,23.0,1.0
Peak_Dur_5,nan,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,6.0,nan,6.0,nan
Peak_Dur_10,nan,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
Peak_Fre_2,nan,2.0,nan,nan,1.0,nan,nan,nan,nan,2.0,nan,nan,1.0,1.0,nan,2.0,2.0,nan,9.0,5.0,5.0,1.0
Peak_Fre_5,nan,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,4.0,nan,3.0,nan
Peak_Fre_10,nan,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
SP_Mag,1.3,300.0,1.8,1.7,12.0,2.5,1.1,1.6,3.4,13.0,12.0,3.4,16.0,2.8,5.7,35.0,40.0,2.8,31.0,11.0,12.0,11.0
SP_Tim,213.0,312.0,233.0,161.0,54.0,197.0,175.0,75.0,56.0,257.0,155.0,63.0,90.0,296.0,187.0,68.0,345.0,256.0,246.0,237.0,258.0,155.0
SP_Dur,67.0,29.0,67.0,152.0,173.0,194.0,nan,276.0,243.0,78.0,101.0,192.0,222.0,38.0,140.0,170.0,nan,17.0,85.0,117.0,49.0,170.0
SP_ROC,0.1250000000000001,0.19999999999999996,0.16666666666666663,0.09999999999999998,0.09090909090909098,0.19999999999999996,nan,0.09999999999999998,0.06666666666666672,0.04109589041095888,0.04880952380952385,0.07142857142857134,0.07142857142857134,0.052631578947368356,0.0555555555555556,0.08166666666666665,nan,0.07142857142857134,0.0625,0.028381642512077317,0.05084745762711876,0.04706533776301222
DS_Mag_50,0.6,0.6,1.0,nan,1.0,0.4,nan,1.1,0.78,nan,1.8,1.4,0.94,1.8,1.8,nan,1.0,0.9,10.0,5.3,5.3,5.2
DS_Mag_90,0.8,0.6,1.3,nan,1.1,0.4,nan,1.1,0.97,nan,1.9,1.8,1.0,2.2,2.0,nan,1.5,1.3,14.600000000000001,5.629999999999999,5.6,5.5
DS_Tim,280.0,341.0,300.0,313.0,227.0,391.0,nan,351.0,299.0,335.0,256.0,255.0,312.0,334.0,327.0,238.0,172.0,273.0,331.0,354.0,307.0,325.0
DS_Dur_WS,381.0,45.0,131.0,nan,218.0,35.0,nan,21.0,172.0,nan,141.0,161.0,83.0,60.0,59.0,nan,204.0,218.0,45.0,108.0,124.0,106.0
