Year,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986
FA_Mag,1259.944377122383,764.9925670291981,447.9955889383365,424.03705689047234,1069.9675660989317,507.0096311745805,455.9896919377361,374.984054379499,nan,nan,229.99851652009846,nan,487.9856365505873,435.9856040527133,923.9426952247633,nan,824.9841190323872,745.9939551888029,429.99988684598054,550.9886672862085,640.9804737578427,943.9902513532952,1219.979709568303,655.9854014983401,nan,340.9976407081648,149.99874075645306,414.0033786558346,836.9887348999215,361.99359368110726,383.0120084967096,3719.9234097101184,nan,511.9925318327152,358.99908140816774
FA_Tim,42.0,44.0,17.0,42.0,51.0,26.0,4.0,40.0,nan,nan,27.0,nan,10.0,32.0,44.0,nan,2.0,11.0,5.0,23.0,42.0,10.0,22.0,52.0,nan,44.0,29.0,51.0,19.0,38.0,10.0,25.0,nan,10.0,22.0
FA_Dur,4.0,6.0,10.0,5.0,6.0,2.0,3.0,9.0,nan,nan,3.0,nan,7.0,2.0,3.0,nan,5.0,3.0,3.0,5.0,4.0,5.0,5.0,2.0,nan,7.0,5.0,3.0,2.0,4.0,2.0,2.0,nan,2.0,3.0
Wet_BFL_Mag_10,1345.0,888.9000000000001,860.4,487.0,369.0,1399.0,1808.0,506.6,611.2,301.0,924.4000000000001,498.0,443.0,504.8,608.0,547.0,407.50000000000006,1184.0,489.8,805.0,662.5999999999999,666.0,1300.0,1195.0,340.5,166.0,1330.0,908.5,1069.0,391.4,1438.0,1290.0,773.2,479.0,1294.0
Wet_BFL_Mag_50,2545.0,1740.0,1730.0,1250.0,7900.0,1870.0,4415.0,1390.0,1530.0,790.0,2630.0,997.0,750.0,803.5,2130.0,2110.0,924.0,3610.0,2820.0,2000.0,2020.0,2065.0,2410.0,2490.0,528.0,240.0,2820.0,1760.0,1790.0,982.0,3110.0,3720.0,3530.0,842.0,3790.0
Wet_Tim,113.0,87.0,104.0,145.0,70.0,132.0,113.0,83.0,110.0,39.0,122.0,4.0,31.0,58.0,139.0,40.0,97.0,94.0,67.0,40.0,107.0,64.0,31.0,121.0,2.0,74.0,69.0,130.0,88.0,57.0,37.0,44.0,31.0,29.0,118.0
Wet_BFL_Dur,100.0,130.0,100.0,91.0,20.0,104.0,108.0,128.0,73.0,195.0,98.0,196.0,198.0,32.0,86.0,225.0,54.0,133.0,50.0,191.0,85.0,166.0,154.0,126.0,216.0,168.0,161.0,104.0,60.0,153.0,165.0,213.0,59.0,171.0,29.0
Peak_2,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0
Peak_5,24860.000000000007,24860.000000000007,24860.000000000007,24860.000000000007,24860.000000000007,24860.000000000007,24860.000000000007,24860.000000000007,24860.000000000007,24860.000000000007,24860.000000000007,24860.000000000007,24860.000000000007,24860.000000000007,24860.000000000007,24860.000000000007,24860.000000000007,24860.000000000007,24860.000000000007,24860.000000000007,24860.000000000007,24860.000000000007,24860.000000000007,24860.000000000007,24860.000000000007,24860.000000000007,24860.000000000007,24860.000000000007,24860.000000000007,24860.000000000007,24860.000000000007,24860.000000000007,24860.000000000007,24860.000000000007,24860.000000000007
Peak_10,38280.0,38280.0,38280.0,38280.0,38280.0,38280.0,38280.0,38280.0,38280.0,38280.0,38280.0,38280.0,38280.0,38280.0,38280.0,38280.0,38280.0,38280.0,38280.0,38280.0,38280.0,38280.0,38280.0,38280.0,38280.0,38280.0,38280.0,38280.0,38280.0,38280.0,38280.0,38280.0,38280.0,38280.0,38280.0
