Year,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983
FA_Mag,nan,nan,1.4078987588497365,nan,nan,nan,nan,nan,nan,nan,nan,1.9057606038535184,nan,1.9150282798385403,nan,18.596461202743818,nan,nan,3.142312281517438,nan,6.706137187277552,nan
FA_Tim,nan,nan,36.0,nan,nan,nan,nan,nan,nan,nan,nan,41.0,nan,7.0,nan,13.0,nan,nan,19.0,nan,0.0,nan
FA_Dur,nan,nan,12.0,nan,nan,nan,nan,nan,nan,nan,nan,14.0,nan,3.0,nan,5.0,nan,nan,10.0,nan,3.0,nan
Wet_BFL_Mag_10,0.7,0.0,0.6,1.52,0.0,1.0,0.54,3.3400000000000007,3.3,1.4,0.07,1.9,1.9,1.0,0.0,0.0,0.644,3.87,3.06,1.5,4.66,nan
Wet_BFL_Mag_50,6.3,0.4,1.3,12.0,0.5,1.7,0.78,32.0,3.9,3.0,0.63,7.5,3.1,1.3,0.67,0.12,63.0,6.7,4.4,2.0,21.0,nan
Wet_Tim,122.0,74.0,37.0,178.0,54.0,54.0,17.0,106.0,25.0,43.0,3.0,95.0,38.0,7.0,23.0,22.0,122.0,95.0,95.0,109.0,164.0,nan
Wet_BFL_Dur,24.0,241.0,150.0,23.0,46.0,153.0,171.0,85.0,139.0,72.0,92.0,87.0,153.0,174.0,135.0,232.0,35.0,88.0,54.0,78.0,33.0,nan
Peak_2,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,nan
Peak_5,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,nan
Peak_10,338.20000000000033,338.20000000000033,338.20000000000033,338.20000000000033,338.20000000000033,338.20000000000033,338.20000000000033,338.20000000000033,338.20000000000033,338.20000000000033,338.20000000000033,338.20000000000033,338.20000000000033,338.20000000000033,338.20000000000033,338.20000000000033,338.20000000000033,338.20000000000033,338.20000000000033,338.20000000000033,338.20000000000033,nan
Peak_Dur_2,2.0,1.0,nan,4.0,nan,2.0,nan,36.0,nan,nan,nan,1.0,1.0,nan,nan,nan,32.0,nan,1.0,nan,9.0,nan
Peak_Dur_5,nan,nan,nan,nan,nan,1.0,nan,7.0,nan,nan,nan,nan,nan,nan,nan,nan,20.0,nan,nan,nan,1.0,nan
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,11.0,nan,nan,nan,nan,nan
Peak_Fre_2,1.0,1.0,nan,1.0,nan,1.0,nan,4.0,nan,nan,nan,1.0,1.0,nan,nan,nan,5.0,nan,1.0,nan,2.0,nan
Peak_Fre_5,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,1.0,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan
SP_Mag,21.0,65.0,1.5,40.0,1.5,12.0,3.7,70.0,7.6,6.3,1.2,35.0,10.0,4.8,1.2,5.6,965.0,40.0,12.0,6.0,68.0,nan
SP_Tim,146.0,315.0,187.0,201.0,100.0,207.0,188.0,191.0,164.0,115.0,95.0,182.0,191.0,181.0,158.0,254.0,157.0,183.0,149.0,187.0,197.0,nan
SP_Dur,110.0,13.0,98.0,128.0,143.0,93.0,107.0,46.0,130.0,199.0,184.0,86.0,87.0,98.0,99.0,22.0,66.0,77.0,162.0,86.0,45.0,nan
SP_ROC,0.09232954545454553,nan,0.16666666666666663,0.1250000000000001,0.14285714285714282,0.1538461538461538,0.13636363636363635,0.05418297455968683,0.08571428571428566,0.08333333333333323,0.14166666666666664,0.09523809523809532,0.06559139784946241,0.0869565217391305,0.07692307692307698,0.37037037037037035,0.08333333333333333,0.05479452054794513,0.05128205128205122,0.06904761904761911,0.06458333333333331,nan
DS_Mag_50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.86,0.0,0.0,0.0,0.21,0.0,0.0,0.0,2.3,1.5,1.3,0.67,nan,nan
DS_Mag_90,0.0,0.0,1.7,0.0,0.0,0.2,0.72,4.1,1.260000000000001,0.05,1.0,0.475,0.5,0.03,0.1,0.5470000000000002,4.5,2.2,1.5,2.2,nan,nan
DS_Tim,256.0,328.0,285.0,329.0,243.0,300.0,295.0,237.0,294.0,314.0,279.0,268.0,278.0,279.0,257.0,276.0,223.0,260.0,311.0,273.0,242.0,nan
DS_Dur_WS,184.0,75.0,259.0,91.0,177.0,83.0,177.0,154.0,115.0,55.0,182.0,136.0,95.0,110.0,131.0,212.0,238.0,201.0,164.0,257.0,nan,nan
