Year,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Peak_Fre_5,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,3.0,nan,nan,2.0,1.0,nan,1.0,nan,nan,nan,nan,1.0,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,1.0,nan,nan,1.0,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SP_Mag,nan,nan,nan,342.0,50.0,1.3,66.0,32.0,9.3,nan,2.3,nan,17.0,850.0,70.0,100.0,56.0,501.0,2.9,20.0,72.0,400.0,34.0,90.0,18.0,26.0,0.46,nan,676.0,35.0,331.0,6.3,92.0,nan,48.0,7.4,nan,7.3,1.2,nan,5.45,nan,124.0,83.0,nan,11.0,1.68,33.2,51.6,0.92,0.34,nan,nan,nan
SP_Tim,nan,nan,nan,57.0,72.0,164.0,152.0,156.0,298.0,nan,167.0,nan,25.0,345.0,324.0,159.0,298.0,147.0,160.0,180.0,158.0,322.0,92.0,142.0,161.0,129.0,157.0,nan,155.0,188.0,145.0,174.0,165.0,nan,298.0,208.0,nan,nan,161.0,nan,342.0,nan,149.0,nan,nan,123.0,150.0,133.0,87.0,203.0,nan,nan,nan,nan
SP_Dur,nan,nan,nan,256.0,14.0,175.0,156.0,17.0,22.0,nan,174.0,nan,247.0,nan,17.0,90.0,48.0,44.0,95.0,67.0,183.0,16.0,210.0,194.0,153.0,112.0,153.0,nan,170.0,14.0,29.0,97.0,35.0,nan,16.0,54.0,nan,nan,128.0,nan,40.0,nan,177.0,nan,nan,197.0,73.0,106.0,127.0,130.0,nan,nan,nan,nan
SP_ROC,nan,nan,nan,0.11564171122994656,0.24667931688804556,0.5,0.09761904761904758,0.08333333333333323,nan,nan,0.1333333333333333,nan,0.20000000000000004,nan,0.29166666666666663,0.06857366771159878,0.0555555555555556,0.08571428571428572,0.06250000000000006,0.11538461538461538,0.041666666666666664,0.33333333333333326,0.0833333333333333,0.07692307692307698,0.1099033816425121,0.09507678410117437,0.14835164835164844,nan,0.13188405797101443,0.24999999999999997,0.07142857142857142,0.04761904761904753,0.07407407407407414,nan,0.75,0.07417582417582416,nan,nan,0.07142857142857148,nan,0.2916666666666667,nan,0.058823529411764754,nan,nan,0.09677419354838701,0.06250000000000006,0.06282894736842111,0.055555555555555455,0.12095088819226751,nan,nan,nan,nan
DS_Mag_50,nan,nan,nan,0.0,0.1,0.0,0.01,0.0,nan,nan,nan,nan,0.0,0.05,0.03,0.06,0.67,nan,0.03,0.07,nan,1.2,0.05,0.02,0.01,0.01,nan,nan,0.01,0.0,0.55,0.0,nan,nan,0.02,nan,nan,0.0,nan,nan,nan,nan,0.17,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
DS_Mag_90,nan,nan,nan,0.0,0.4,0.0,0.19,0.24,nan,nan,nan,nan,0.0,0.25,0.1,0.46199999999999986,1.1700000000000004,nan,0.26,0.24199999999999988,nan,1.4,0.09400000000000006,0.3660000000000001,0.01,0.05,nan,nan,0.23200000000000018,0.6930000000000013,6.060000000000002,0.04,nan,nan,0.39,nan,nan,0.01,nan,nan,nan,nan,0.358,nan,nan,0.14,0.01,0.12,0.28,0.0,nan,nan,nan,nan
DS_Tim,nan,nan,nan,313.0,86.0,339.0,308.0,173.0,320.0,nan,341.0,nan,272.0,272.0,341.0,249.0,346.0,191.0,255.0,247.0,341.0,338.0,302.0,336.0,314.0,241.0,310.0,nan,325.0,202.0,174.0,271.0,200.0,nan,314.0,262.0,nan,224.0,289.0,nan,382.0,nan,326.0,228.0,nan,320.0,223.0,239.0,214.0,333.0,302.0,nan,nan,nan
DS_Dur_WS,nan,nan,nan,107.0,344.0,132.0,195.0,234.0,nan,nan,nan,nan,220.0,400.0,117.0,165.0,134.0,nan,215.0,175.0,nan,91.0,107.0,115.0,80.0,194.0,nan,nan,159.0,248.0,223.0,186.0,nan,nan,166.0,nan,nan,238.0,nan,nan,nan,nan,47.0,nan,nan,153.0,245.0,196.0,235.0,151.0,nan,nan,nan,nan
