Year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990
FA_Mag,nan,nan,92.99173786561605,69.99483439293255,143.99836956257784,326.9179617069054,108.99715722076374,nan,nan,251.93821540209413,201.99727399006974,248.00158745195935,79.00679435808586,300.67225160129124,255.6253957471811,165.9981772851295,183.98631554826062,493.92623195034673,296.0068098748353,70.99810353966171,nan,471.9590489800028,458.8584467999234,228.0004395651075,2889.8605560196283,365.9722003832913,315.9618259467717,172.99291982259533,248.9984840807605,68.9944788877326,153.9392517559094,120.09882525087941
FA_Tim,nan,nan,36.0,51.0,14.0,36.0,28.0,nan,nan,49.0,13.0,16.0,37.0,42.0,45.0,8.0,28.0,10.0,1.0,6.0,nan,19.0,64.0,28.0,25.0,1.0,16.0,41.0,1.0,22.0,44.0,25.0
FA_Dur,nan,nan,6.0,3.0,2.0,4.0,7.0,nan,nan,6.0,5.0,3.0,4.0,4.0,2.0,3.0,9.0,6.0,7.0,3.0,nan,7.0,3.0,2.0,4.0,5.0,2.0,2.0,2.0,3.0,7.0,6.0
Wet_BFL_Mag_10,192.0,120.0,153.90000000000003,267.0,313.20000000000005,339.8,334.0,166.60000000000002,371.6,247.40000000000003,953.2,341.4,244.2,149.39999999999998,590.1,258.0,504.40000000000003,142.0,nan,580.0,367.6,525.3,220.70000000000002,567.0,1150.0,438.09999999999997,303.5,482.80000000000007,232.0,162.4,152.0,184.0
Wet_BFL_Mag_50,399.0,480.5,351.0,996.0,915.0,650.0,494.0,255.0,1040.0,443.0,2100.0,558.0,536.0,323.0,947.0,716.0,1430.0,259.5,nan,1430.0,757.0,1380.0,703.0,917.0,1755.0,650.0,993.0,1650.0,510.0,299.0,510.0,382.0
Wet_Tim,127.0,110.0,156.0,116.0,111.0,174.0,69.0,40.0,47.0,126.0,102.0,96.0,100.0,78.0,156.0,71.0,200.0,139.0,nan,123.0,128.0,88.0,158.0,133.0,107.0,37.0,161.0,117.0,149.0,86.0,124.0,142.0
Wet_BFL_Dur,101.0,140.0,98.0,150.0,153.0,75.0,183.0,193.0,229.0,118.0,145.0,143.0,162.0,178.0,88.0,181.0,47.0,90.0,nan,131.0,109.0,178.0,88.0,81.0,156.0,202.0,92.0,128.0,81.0,149.0,99.0,101.0
Peak_2,2475.0,2475.0,2475.0,2475.0,2475.0,2475.0,2475.0,2475.0,2475.0,2475.0,2475.0,2475.0,2475.0,2475.0,2475.0,2475.0,2475.0,2475.0,2475.0,2475.0,2475.0,2475.0,2475.0,2475.0,2475.0,2475.0,2475.0,2475.0,2475.0,2475.0,2475.0,2475.0
Peak_5,7112.0,7112.0,7112.0,7112.0,7112.0,7112.0,7112.0,7112.0,7112.0,7112.0,7112.0,7112.0,7112.0,7112.0,7112.0,7112.0,7112.0,7112.0,7112.0,7112.0,7112.0,7112.0,7112.0,7112.0,7112.0,7112.0,7112.0,7112.0,7112.0,7112.0,7112.0,7112.0
Peak_10,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002,15330.000000000002
Peak_Dur_2,nan,nan,nan,1.0,3.0,nan,3.0,nan,47.0,nan,79.0,2.0,nan,nan,35.0,9.0,21.0,nan,nan,44.0,6.0,26.0,nan,33.0,72.0,4.0,nan,28.0,nan,nan,nan,nan
Peak_Dur_5,nan,nan,nan,nan,2.0,nan,nan,nan,2.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,2.0,1.0,nan,nan,3.0,nan,nan,nan,nan
Peak_Dur_10,nan,nan,nan,nan,1.0,nan,nan,nan,2.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,nan,1.0,1.0,nan,2.0,nan,4.0,nan,9.0,1.0,nan,nan,2.0,5.0,3.0,nan,nan,5.0,2.0,5.0,nan,7.0,13.0,2.0,nan,5.0,nan,nan,nan,nan
Peak_Fre_5,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,1.0,1.0,nan,nan,2.0,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan
SP_Mag,698.0,833.0,440.0,1530.0,2160.0,1070.0,2280.0,1000.0,3820.0,1110.0,6030.0,1990.0,1390.0,686.0,3960.0,2520.0,3360.0,941.0,727.0,4350.0,2840.0,2840.0,1080.0,2830.0,5290.0,1910.0,1070.0,3390.0,981.0,766.0,1070.0,785.0
SP_Tim,228.0,250.0,254.0,266.0,264.0,249.0,252.0,233.0,276.0,244.0,247.0,239.0,262.0,256.0,244.0,252.0,247.0,229.0,255.0,254.0,237.0,266.0,246.0,214.0,263.0,239.0,253.0,245.0,230.0,235.0,223.0,243.0
SP_Dur,85.0,46.0,93.0,63.0,43.0,76.0,92.0,66.0,58.0,55.0,90.0,76.0,69.0,56.0,80.0,78.0,67.0,103.0,85.0,73.0,74.0,69.0,65.0,107.0,89.0,102.0,74.0,86.0,76.0,85.0,83.0,67.0
