Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961
FA_Mag,nan,747.9969137488621,391.9476202407168,797.9810119035159,391.9882181031933,218.99883870192943,507.00442194974084,8219.871816674797,502.00060369136395,nan,383.0591177853171
FA_Tim,nan,1.0,44.0,17.0,7.0,10.0,26.0,9.0,44.0,nan,7.0
FA_Dur,nan,8.0,4.0,4.0,2.0,2.0,5.0,2.0,2.0,nan,4.0
Wet_BFL_Mag_10,1376.0,859.0,1586.0,870.4,650.4,1378.0000000000005,1730.0,2621.0,661.0,938.4,303.5
Wet_BFL_Mag_50,2555.0,2250.0,2770.0,3030.0,971.0,3770.0,3180.0,5940.0,2540.0,2590.0,876.0
Wet_Tim,13.0,38.0,84.0,38.0,34.0,59.0,133.0,114.0,83.0,110.0,44.0
Wet_BFL_Dur,220.0,206.0,150.0,195.0,202.0,180.0,111.0,120.0,146.0,139.0,46.0
Peak_2,18700.0,18700.0,18700.0,18700.0,18700.0,18700.0,18700.0,18700.0,18700.0,18700.0,18700.0
Peak_5,22700.0,22700.0,22700.0,22700.0,22700.0,22700.0,22700.0,22700.0,22700.0,22700.0,22700.0
Peak_10,26100.0,26100.0,26100.0,26100.0,26100.0,26100.0,26100.0,26100.0,26100.0,26100.0,26100.0
Peak_Dur_2,1.0,nan,nan,1.0,nan,3.0,1.0,4.0,1.0,nan,nan
Peak_Dur_5,1.0,nan,nan,nan,nan,2.0,nan,3.0,nan,nan,nan
Peak_Dur_10,nan,nan,nan,nan,nan,2.0,nan,1.0,nan,nan,nan
Peak_Fre_2,1.0,nan,nan,1.0,nan,2.0,1.0,2.0,1.0,nan,nan
Peak_Fre_5,1.0,nan,nan,nan,nan,1.0,nan,2.0,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan
SP_Mag,4480.0,8400.0,7320.0,6200.0,5570.0,9990.0,5000.0,12900.0,4620.0,5960.0,1190.0
SP_Tim,233.0,244.0,234.0,233.0,236.0,239.0,244.0,234.0,229.0,249.0,90.0
SP_Dur,71.0,82.0,87.0,77.0,79.0,71.0,59.0,82.0,67.0,64.0,211.0
SP_ROC,0.03847905930586795,0.04683614825240441,0.047325102880658436,0.048207663782447466,0.04175342598421384,0.05313255439161966,0.04960835509138381,0.04855330715795832,0.05263157894736842,0.039705882352941174,0.0346832397754611
DS_Mag_50,191.0,222.0,265.0,237.0,150.5,280.0,780.0,263.0,167.0,151.0,182.0
DS_Mag_90,303.20000000000005,591.0,376.6,310.90000000000015,220.30000000000013,528.0,2694.0,441.0,244.59999999999997,189.0,186.0
DS_Tim,304.0,326.0,321.0,310.0,315.0,310.0,303.0,316.0,296.0,313.0,301.0
DS_Dur_WS,100.0,124.0,83.0,90.0,110.0,189.0,177.0,133.0,180.0,97.0,109.0
