Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
FA_Mag,nan,47.99380480498596,62.96143334797586,74.94096280745894,29.975790726377305,nan,39.963350223100186,29.995672890550253,nan,nan,9.00604932061747,10.968095851413278,55.98228824301736,nan,38.97711210562841,nan,nan,91.8025909927197,26.033831872296172,83.99718367739503,42.9658490664629,125.9259996639001,14.056917094307348,18.993569374046796,38.97129227827528,63.905744447415024,nan,54.99251052315369,39.990790877225926,38.99462392996218,105.92254620638676,16.03486713694401,384.9480177419387,78.00964202913335,31.973182517430928,35.99980041213837,nan,8.906763973225672,16.992587190427603,209.65715065923038,nan,43.01391254896461,15.011677256925363,32.967448819030544,49.995320803883864,345.9657018361032,nan,63.01689914362248,176.9849225052017,38.99070487661614,83.97273176878998,13.599770028955463
FA_Tim,nan,24.0,44.0,44.0,42.0,nan,30.0,44.0,nan,nan,6.0,50.0,13.0,nan,28.0,nan,nan,65.0,13.0,15.0,35.0,42.0,20.0,12.0,27.0,10.0,nan,52.0,51.0,19.0,64.0,10.0,25.0,1.0,10.0,43.0,nan,23.0,1.0,23.0,nan,26.0,30.0,60.0,4.0,72.0,nan,56.0,61.0,38.0,28.0,30.0
FA_Dur,nan,6.0,4.0,5.0,5.0,nan,2.0,7.0,nan,nan,2.0,3.0,4.0,nan,7.0,nan,nan,3.0,3.0,3.0,2.0,3.0,6.0,4.0,8.0,2.0,nan,5.0,6.0,3.0,5.0,2.0,6.0,4.0,5.0,5.0,nan,3.0,4.0,4.0,nan,10.0,6.0,5.0,2.0,3.0,nan,9.0,4.0,4.0,10.0,4.0
Wet_BFL_Mag_10,14.0,112.0,47.8,64.0,32.8,134.0,64.0,77.0,24.0,24.6,9.08,47.0,48.0,24.0,110.1,50.0,40.0,34.0,153.6,56.0,45.0,30.0,54.6,43.0,117.60000000000002,nan,9.19,51.0,42.0,67.4,24.0,71.6,121.9,111.90000000000002,28.0,53.2,15.0,23.4,21.4,55.00000000000001,40.4,37.10000000000001,56.7,33.1,117.6,107.0,nan,123.6,105.0,64.7,46.7,30.020000000000003
Wet_BFL_Mag_50,72.0,212.5,89.0,177.5,74.0,200.0,118.0,308.0,92.5,100.5,23.0,142.0,131.0,36.0,151.0,73.0,113.0,72.5,412.0,137.0,94.0,83.0,161.0,128.0,205.5,nan,14.0,273.0,198.0,272.0,57.0,212.5,439.0,192.0,50.0,434.0,45.5,46.0,107.0,104.0,110.0,69.0,259.0,57.0,324.0,262.0,nan,329.0,187.0,218.5,105.0,72.25
Wet_Tim,21.0,100.0,91.0,127.0,127.0,69.0,126.0,112.0,91.0,107.0,30.0,121.0,111.0,32.0,72.0,40.0,43.0,96.0,98.0,76.0,51.0,73.0,96.0,26.0,145.0,nan,136.0,72.0,94.0,79.0,104.0,76.0,73.0,37.0,34.0,124.0,111.0,83.0,119.0,142.0,145.0,124.0,85.0,125.0,92.0,103.0,nan,97.0,103.0,100.0,135.0,74.0
Wet_BFL_Dur,51.0,136.0,129.0,96.0,109.0,169.0,116.0,121.0,136.0,120.0,205.0,99.0,123.0,199.0,172.0,171.0,195.0,120.0,135.0,156.0,203.0,157.0,150.0,216.0,102.0,nan,120.0,173.0,140.0,159.0,111.0,124.0,184.0,54.0,183.0,23.0,104.0,145.0,75.0,67.0,95.0,80.0,148.0,102.0,127.0,129.0,nan,164.0,135.0,138.0,88.0,148.0
Peak_2,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,nan,710.0,710.0,710.0,710.0,710.0
Peak_5,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,nan,1800.0,1800.0,1800.0,1800.0,1800.0
Peak_10,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,nan,3560.0,3560.0,3560.0,3560.0,3560.0
Peak_Dur_2,8.0,1.0,nan,nan,nan,9.0,1.0,3.0,nan,nan,nan,2.0,2.0,nan,4.0,1.0,16.0,nan,36.0,1.0,nan,nan,nan,nan,1.0,nan,nan,5.0,1.0,9.0,nan,9.0,39.0,4.0,nan,12.0,nan,nan,nan,nan,nan,nan,1.0,nan,14.0,5.0,nan,2.0,1.0,4.0,nan,nan
Peak_Dur_5,1.0,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,2.0,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,3.0,3.0,2.0,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan
