Year,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
FA_Mag,792.9981531499675,91.99812941798378,51.009977792785556,87.99798934287458,143.96017217910213,nan,nan,157.99658734049365,254.98823995660968,nan,109.9939921898111,136.97848056680988,225.99548355148093,nan,253.99449853351263,153.97558437509304,nan,71.01448527677574,nan,89.99408716732358,165.0026987369291,60.99794373585881,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,161.976456188109,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,9.0,40.0,8.0,7.0,26.0,nan,nan,28.0,42.0,nan,2.0,11.0,15.0,nan,43.0,10.0,nan,27.0,nan,1.0,25.0,50.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Dur,2.0,3.0,3.0,6.0,4.0,nan,nan,5.0,2.0,nan,6.0,2.0,2.0,nan,6.0,3.0,nan,4.0,nan,5.0,5.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,510.6,191.60000000000002,248.4,135.0,134.8,122.20000000000002,183.0,105.5,274.6,188.6,206.0,250.39999999999998,183.8,319.9,231.3,222.4,449.20000000000005,239.0,141.0,59.0,383.2,88.8,174.20000000000002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,239.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_50,1015.0,574.0,477.0,417.5,311.0,411.0,371.0,390.5,482.0,461.0,577.0,675.0,922.0,724.5,481.0,534.0,982.0,910.0,325.5,124.0,791.0,404.0,510.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,510.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_Tim,72.0,83.0,109.0,48.0,48.0,4.0,7.0,49.0,84.0,39.0,88.0,42.0,68.0,31.0,101.0,63.0,17.0,85.0,19.0,126.0,49.0,90.0,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Dur,72.0,107.0,137.0,140.0,145.0,217.0,221.0,38.0,107.0,197.0,61.0,183.0,50.0,150.0,58.0,167.0,173.0,161.0,206.0,127.0,115.0,139.0,143.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,202.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3400.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_5,7948.0,7948.0,7948.0,7948.0,7948.0,7948.0,7948.0,7948.0,7948.0,7948.0,7948.0,7948.0,7948.0,7948.0,7948.0,7948.0,7948.0,7948.0,7948.0,7948.0,7948.0,7948.0,7948.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7948.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_10,8662.0,8662.0,8662.0,8662.0,8662.0,8662.0,8662.0,8662.0,8662.0,8662.0,8662.0,8662.0,8662.0,8662.0,8662.0,8662.0,8662.0,8662.0,8662.0,8662.0,8662.0,8662.0,8662.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8662.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Dur_2,11.0,2.0,3.0,2.0,nan,5.0,1.0,5.0,nan,1.0,6.0,1.0,9.0,6.0,7.0,nan,11.0,nan,nan,nan,3.0,1.0,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Dur_5,1.0,1.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,3.0,2.0,3.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,1.0,1.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,5.0,1.0,1.0,2.0,nan,4.0,1.0,1.0,nan,1.0,2.0,1.0,3.0,4.0,3.0,nan,5.0,nan,nan,nan,2.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_5,1.0,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,1.0,2.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SP_Mag,8180.0,1060.0,1210.0,1540.0,1100.0,1640.0,407.0,10000.0,1590.0,1450.0,7930.0,2060.0,10200.0,2330.0,3810.0,874.0,2660.0,1460.0,691.0,280.0,1480.0,806.0,2340.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,793.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SP_Tim,144.0,190.0,246.0,188.0,193.0,221.0,228.0,87.0,191.0,236.0,149.0,225.0,118.0,181.0,159.0,230.0,190.0,246.0,225.0,253.0,164.0,229.0,154.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,266.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
