Year,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980
FA_Mag,nan,2.6480987816014245,1.8833189091170464,nan,3.8567142563709513,nan,5.796587476276172,7.214559482966504,8.218910310582483,4.094974021409774,5.537962140804285,13.951722899045508,9.613162145470879,4.193359061226638,nan,nan,3.271651538284669,1.2897390006435236,1.734849770271802,1.82758192543829,nan
FA_Tim,nan,56.0,19.0,nan,22.0,nan,48.0,46.0,1.0,12.0,15.0,35.0,41.0,10.0,nan,nan,5.0,1.0,52.0,60.0,nan
FA_Dur,nan,6.0,2.0,nan,4.0,nan,8.0,2.0,2.0,2.0,4.0,2.0,13.0,6.0,nan,nan,3.0,5.0,3.0,5.0,nan
Wet_BFL_Mag_10,2.6899999999999995,3.2,4.32,2.1,4.6,7.75,2.5999999999999996,6.7,5.940000000000002,4.92,3.22,10.460000000000003,2.9,14.000000000000004,6.2,5.5,3.0,1.02,11.3,4.62,nan
Wet_BFL_Mag_50,17.0,16.0,34.0,6.7,16.0,10.0,23.0,18.0,19.0,32.0,9.4,27.0,21.0,32.0,13.5,39.5,7.2,2.6500000000000004,30.5,15.0,nan
Wet_Tim,152.0,151.0,172.0,5.0,162.0,66.0,154.0,160.0,130.0,164.0,75.0,165.0,132.0,182.0,33.0,198.0,143.0,150.0,160.0,151.0,nan
Wet_BFL_Dur,44.0,82.0,47.0,229.0,71.0,166.0,56.0,105.0,89.0,69.0,42.0,89.0,98.0,49.0,208.0,48.0,74.0,92.0,84.0,82.0,nan
Peak_2,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,nan
Peak_5,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,nan
Peak_10,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,nan
Peak_Dur_2,nan,nan,nan,11.0,nan,11.0,nan,31.0,1.0,29.0,5.0,1.0,nan,9.0,17.0,19.0,nan,nan,8.0,nan,nan
Peak_Dur_5,nan,nan,nan,3.0,nan,4.0,nan,5.0,nan,1.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Dur_10,nan,nan,nan,1.0,nan,2.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,nan,3.0,nan,2.0,nan,4.0,1.0,3.0,2.0,1.0,nan,1.0,5.0,3.0,nan,nan,2.0,nan,nan
Peak_Fre_5,nan,nan,nan,2.0,nan,1.0,nan,1.0,nan,1.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SP_Mag,37.0,22.0,52.0,73.0,37.0,57.0,34.0,124.0,31.0,96.0,256.0,53.0,36.0,107.0,67.0,103.0,17.0,7.6,57.0,55.0,nan
SP_Tim,196.0,233.0,219.0,234.0,233.0,232.0,210.0,265.0,219.0,233.0,117.0,254.0,230.0,231.0,241.0,246.0,217.0,242.0,244.0,233.0,nan
SP_Dur,87.0,65.0,72.0,50.0,57.0,97.0,67.0,38.0,119.0,63.0,159.0,57.0,58.0,50.0,63.0,57.0,158.0,68.0,61.0,51.0,nan
SP_ROC,0.08377192982456144,0.10126582278481021,0.08333333333333333,0.09523809523809532,0.08695652173913032,0.08333333333333323,0.08333333333333341,0.11111111111111108,0.12571839080459773,0.09090909090909091,0.07312834224598934,0.11764705882352938,0.10909090909090918,0.1,0.10499999999999998,0.07142857142857134,0.06155303030303025,0.10526315789473682,0.06936647955092215,0.08333333333333329,nan
DS_Mag_50,0.8,0.6,0.3,1.9,0.3,1.3,1.1,1.0,2.1,0.49,1.2,0.59,1.7,0.29,0.76,1.7,0.28,0.545,0.66,nan,nan
DS_Mag_90,2.8,2.1,0.8,3.3,1.0,1.7,7.7,3.1000000000000005,5.760000000000002,1.2,7.299999999999999,1.6999999999999997,5.9,0.76,2.9199999999999986,2.55,0.94,4.25,1.4,nan,nan
DS_Tim,283.0,298.0,291.0,284.0,290.0,329.0,277.0,303.0,338.0,296.0,276.0,311.0,288.0,281.0,304.0,303.0,375.0,310.0,305.0,284.0,nan
DS_Dur_WS,234.0,240.0,80.0,244.0,142.0,191.0,249.0,193.0,192.0,145.0,255.0,187.0,260.0,118.0,260.0,206.0,150.0,216.0,212.0,nan,nan
