Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978
FA_Mag,nan,9.936248881374947,nan,9.69626618332437,38.000186839273724,nan,nan,33.99719379960543,nan,nan,8.000266163623094,111.9916810428627,nan,41.944165535118984,10.979991257405587,nan,210.982747034792,nan,48.23290194387099,nan,nan,nan,36.99929470843566,47.036283312750484,56.031091964316865,nan,41.000251379824796,nan
FA_Tim,nan,2.0,nan,45.0,0.0,nan,nan,10.0,nan,nan,9.0,29.0,nan,50.0,40.0,nan,37.0,nan,18.0,nan,nan,nan,18.0,40.0,27.0,nan,1.0,nan
FA_Dur,nan,8.0,nan,7.0,6.0,nan,nan,2.0,nan,nan,4.0,4.0,nan,8.0,6.0,nan,6.0,nan,6.0,nan,nan,nan,4.0,9.0,4.0,nan,2.0,nan
Wet_BFL_Mag_10,nan,39.400000000000006,23.0,9.46,nan,9.6,4.3,56.2,nan,7.480000000000001,7.6,16.0,nan,9.1,8.0,74.9,40.8,31.0,19.8,23.0,14.0,9.68,18.9,26.0,nan,nan,nan,94.1
Wet_BFL_Mag_50,nan,118.0,44.0,51.0,nan,15.0,9.1,189.0,nan,13.0,9.9,374.0,nan,10.0,78.0,344.5,122.0,146.0,608.0,29.0,33.0,55.0,125.5,187.0,nan,nan,nan,320.5
Wet_Tim,nan,86.0,9.0,99.0,nan,105.0,31.0,113.0,nan,73.0,26.0,121.0,nan,105.0,172.0,40.0,55.0,43.0,102.0,28.0,29.0,73.0,121.0,87.0,nan,nan,nan,96.0
Wet_BFL_Dur,nan,89.0,96.0,87.0,nan,120.0,124.0,77.0,nan,248.0,97.0,20.0,nan,87.0,33.0,62.0,159.0,21.0,49.0,132.0,39.0,23.0,20.0,27.0,nan,nan,nan,62.0
Peak_2,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5
Peak_5,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005
Peak_10,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0
Peak_Dur_2,nan,11.0,nan,nan,nan,nan,1.0,20.0,1.0,nan,nan,9.0,nan,nan,nan,27.0,14.0,1.0,40.0,3.0,1.0,nan,4.0,1.0,nan,nan,nan,51.0
