Year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
FA_Mag,38.99748266422343,nan,8.126138075401343,437.9719829225265,3039.8773723873073,79.98840026225348,321.9825773607457,nan,nan,51.91494017890966,411.98262682602405,116.99870083356718,nan,66.01006719036735,98.0018418277662,519.9982495188632,36.01893273173087,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,679.986402501844,78.29884298766218,78.9983114408478
FA_Tim,44.0,nan,6.0,55.0,11.0,15.0,40.0,nan,nan,2.0,48.0,16.0,nan,43.0,14.0,22.0,27.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,39.0,19.0
FA_Dur,2.0,nan,9.0,7.0,6.0,2.0,3.0,nan,nan,5.0,4.0,3.0,nan,5.0,7.0,5.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.0,4.0,5.0
Wet_BFL_Mag_10,45.6,103.6,41.8,93.0,51.2,53.7,76.0,53.0,74.0,40.5,62.0,115.0,132.00000000000003,84.0,59.4,266.5,74.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,107.0,204.10000000000002,230.0,121.50000000000001
Wet_BFL_Mag_50,366.0,351.5,250.0,376.5,211.0,93.5,550.0,307.0,350.0,508.0,720.0,1400.0,421.0,274.0,436.0,696.5,692.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,654.0,598.0,440.0,502.0
Wet_Tim,83.0,109.0,39.0,106.0,52.0,30.0,50.0,35.0,40.0,81.0,64.0,67.0,31.0,98.0,64.0,32.0,84.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,44.0,65.0,56.0,63.0
Wet_BFL_Dur,74.0,58.0,149.0,86.0,147.0,90.0,39.0,161.0,83.0,66.0,51.0,51.0,149.0,61.0,47.0,152.0,88.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,53.0,154.0,96.0,170.0
Peak_2,5660.0,5660.0,5660.0,5660.0,5660.0,5660.0,5660.0,5660.0,5660.0,5660.0,5660.0,5660.0,5660.0,5660.0,5660.0,5660.0,5660.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5660.0,5660.0,5660.0,5660.0
Peak_5,10100.0,10100.0,10100.0,10100.0,10100.0,10100.0,10100.0,10100.0,10100.0,10100.0,10100.0,10100.0,10100.0,10100.0,10100.0,10100.0,10100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10100.0,10100.0,10100.0,10100.0
Peak_10,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10800.0,10800.0,10800.0,10800.0
Peak_Dur_2,nan,1.0,nan,nan,1.0,nan,7.0,nan,2.0,nan,5.0,3.0,nan,nan,1.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,2.0,1.0,nan
Peak_Dur_5,nan,1.0,nan,nan,nan,nan,3.0,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
Peak_Dur_10,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
Peak_Fre_2,nan,1.0,nan,nan,1.0,nan,2.0,nan,2.0,nan,2.0,2.0,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,2.0,1.0,nan
Peak_Fre_5,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
SP_Mag,718.0,1150.0,882.0,922.0,3510.0,668.0,7000.0,1060.0,6600.0,3370.0,9550.0,10100.0,2880.0,1380.0,5660.0,4230.0,3600.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6650.0,1780.0,2130.0,3860.0
SP_Tim,157.0,167.0,188.0,192.0,199.0,120.0,89.0,196.0,123.0,147.0,115.0,118.0,180.0,159.0,111.0,184.0,172.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,97.0,219.0,152.0,233.0
SP_Dur,97.0,104.0,96.0,81.0,74.0,155.0,154.0,53.0,163.0,63.0,145.0,111.0,101.0,111.0,142.0,52.0,95.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128.0,47.0,47.0,66.0
SP_ROC,0.0503129513721714,0.05727956254272044,0.062071917808219176,0.05263157894736842,0.05,0.05857588357588358,0.08928571428571429,0.06060606060606061,0.07453416149068323,0.08333333333333333,0.0962962962962963,0.08146699845953312,0.041666666666666664,0.05198147195059187,0.08955223880597014,0.07035175879396985,0.07894736842105263,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0692974655402401,0.07666290868094701,0.04801670146137787,0.06370022972728229
DS_Mag_50,4.9,4.0,5.5,7.3,11.0,2.3,9.8,5.7,7.7,11.0,11.0,5.699999999999999,11.0,9.5,12.0,17.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.41,6.405,17.3,14.45
DS_Mag_90,16.0,15.700000000000003,84.60000000000002,50.79999999999998,33.599999999999994,24.0,55.900000000000034,31.0,50.0,75.19999999999999,51.0,39.60000000000002,93.60000000000002,96.19999999999999,40.599999999999994,114.90000000000012,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,44.1,20.55,143.39999999999998,27.51
