Year,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
FA_Mag,3.467811628450077,nan,121.83410827919147,11.001091807148738,9.63450623201824,2.71407072218895,nan,2.2608645172725974,2.590554921577295,3.6956886081804408,nan,5.187425037321808,2.58228686781295,2.6604577486092187,3.5028018872525304,99.88782787534672,nan,4.17331887260111,11.973596985654638,6.6246693508925425,nan,4.066616066679528,7.336465172690453,3.2662516270940807,nan,33.89279998729086,4.492286729477444,2.5144655745357283,4.971379758474944,3.443572457965895,84.95092266304006,3.863276993629404,nan,nan,8.948694906416524
FA_Tim,64.0,nan,25.0,0.0,33.0,22.0,nan,43.0,43.0,56.0,nan,25.0,28.0,14.0,35.0,72.0,nan,8.0,53.0,27.0,nan,52.0,38.0,67.0,nan,62.0,20.0,9.0,32.0,12.0,24.0,4.0,nan,nan,64.0
FA_Dur,8.0,nan,2.0,7.0,4.0,6.0,nan,13.0,6.0,3.0,nan,9.0,5.0,2.0,9.0,2.0,nan,3.0,3.0,7.0,nan,2.0,7.0,3.0,nan,2.0,4.0,1.0,6.0,2.0,4.0,4.0,nan,nan,3.0
Wet_BFL_Mag_10,5.76,11.0,41.0,11.0,9.2,9.680000000000001,6.500000000000001,5.6,22.0,7.2,6.03,6.9,8.059999999999999,2.1,21.0,12.0,9.1,14.0,22.6,14.0,6.3,9.97,10.260000000000002,12.350000000000001,19.3,11.200000000000001,6.98,8.096,12.42,13.760000000000002,25.400000000000002,11.7,5.88,5.88,3.656
Wet_BFL_Mag_50,19.0,24.0,163.0,22.0,45.0,41.0,30.0,13.0,49.0,26.0,19.5,8.9,36.0,12.0,57.0,28.0,27.0,49.0,71.0,44.0,18.0,29.65,19.5,40.8,66.2,30.7,17.3,21.15,19.7,32.5,54.05,17.2,8.585,13.5,10.5
Wet_Tim,169.0,39.0,221.0,25.0,177.0,86.0,177.0,143.0,151.0,157.0,176.0,138.0,154.0,145.0,153.0,113.0,44.0,162.0,190.0,161.0,162.0,136.0,156.0,155.0,191.0,72.0,125.0,169.0,164.0,175.0,176.0,162.0,43.0,124.0,111.0
Wet_BFL_Dur,47.0,201.0,36.0,211.0,41.0,158.0,35.0,85.0,71.0,91.0,64.0,65.0,79.0,81.0,118.0,119.0,183.0,97.0,69.0,79.0,61.0,108.0,87.0,66.0,51.0,175.0,99.0,62.0,69.0,77.0,92.0,55.0,172.0,95.0,129.0
Peak_2,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0
Peak_5,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0
Peak_10,386.40000000000003,386.40000000000003,386.40000000000003,386.40000000000003,386.40000000000003,386.40000000000003,386.40000000000003,386.40000000000003,386.40000000000003,386.40000000000003,386.40000000000003,386.40000000000003,386.40000000000003,386.40000000000003,386.40000000000003,386.40000000000003,386.40000000000003,386.40000000000003,386.40000000000003,386.40000000000003,386.40000000000003,386.40000000000003,386.40000000000003,386.40000000000003,386.40000000000003,386.40000000000003,386.40000000000003,386.40000000000003,386.40000000000003,386.40000000000003,386.40000000000003,386.40000000000003,386.40000000000003,386.40000000000003,386.40000000000003
Peak_Dur_2,nan,7.0,24.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,2.0,nan,7.0,5.0,3.0,2.0,6.0,1.0,nan,nan,2.0,nan,6.0,5.0,nan,nan,2.0,5.0,10.0,1.0,1.0,nan,nan
Peak_Dur_5,nan,4.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,2.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
