Year,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
FA_Mag,nan,nan,nan,1.0123315335004102,nan,nan,nan,nan,nan,nan,29.947632434770018,nan,1.0040574000738254,nan,nan,nan,1.2640733017773398,2.6086242928710592,nan,nan,nan,nan
FA_Tim,nan,nan,nan,44.0,nan,nan,nan,nan,nan,nan,19.0,nan,73.0,nan,nan,nan,19.0,5.0,nan,nan,nan,nan
FA_Dur,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,7.0,nan,6.0,nan,nan,nan,7.0,3.0,nan,nan,nan,nan
Wet_BFL_Mag_10,0.761,0.514,0.272,0.681,nan,nan,nan,nan,0.34,0.35,0.54,0.327,nan,0.19,0.33,0.33799999999999997,0.734,nan,0.1,0.05800000000000001,0.17,0.1
Wet_BFL_Mag_50,2.7,0.83,0.96,3.4,nan,nan,nan,nan,0.545,0.42,5.0,0.57,nan,0.64,0.6,0.53,0.795,nan,0.2,0.08,0.24,0.27
Wet_Tim,77.0,62.0,28.0,118.0,nan,nan,nan,nan,70.0,31.0,85.0,3.0,nan,49.0,38.0,54.0,69.0,nan,16.0,125.0,25.0,10.0
Wet_BFL_Dur,88.0,85.0,93.0,32.0,nan,nan,nan,nan,100.0,136.0,21.0,188.0,nan,73.0,183.0,78.0,18.0,nan,321.0,30.0,43.0,185.0
Peak_2,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59
Peak_5,34.239999999999995,34.239999999999995,34.239999999999995,34.239999999999995,34.239999999999995,34.239999999999995,34.239999999999995,34.239999999999995,34.239999999999995,34.239999999999995,34.239999999999995,34.239999999999995,34.239999999999995,34.239999999999995,34.239999999999995,34.239999999999995,34.239999999999995,34.239999999999995,34.239999999999995,34.239999999999995,34.239999999999995,34.239999999999995
Peak_10,62.960000000000036,62.960000000000036,62.960000000000036,62.960000000000036,62.960000000000036,62.960000000000036,62.960000000000036,62.960000000000036,62.960000000000036,62.960000000000036,62.960000000000036,62.960000000000036,62.960000000000036,62.960000000000036,62.960000000000036,62.960000000000036,62.960000000000036,62.960000000000036,62.960000000000036,62.960000000000036,62.960000000000036,62.960000000000036
Peak_Dur_2,9.0,2.0,2.0,5.0,nan,nan,nan,nan,3.0,nan,15.0,1.0,nan,3.0,nan,1.0,7.0,nan,nan,2.0,nan,nan
Peak_Dur_5,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,1.0,nan,nan,nan,nan,3.0,nan,nan,1.0,nan,nan
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan
Peak_Fre_2,4.0,1.0,2.0,3.0,nan,nan,nan,nan,2.0,nan,5.0,1.0,nan,2.0,nan,1.0,1.0,nan,nan,1.0,nan,nan
Peak_Fre_5,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,1.0,nan,nan,nan,nan,1.0,nan,nan,1.0,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan
SP_Mag,40.0,16.0,12.0,26.0,1.4,1.8,1.0,nan,16.3,1.8,210.0,5.87,0.82,22.8,1.57,10.9,29.3,2.51,6.64,14.9,1.6,1.06
SP_Tim,165.0,147.0,121.0,150.0,63.0,150.0,164.0,nan,170.0,167.0,106.0,191.0,149.0,122.0,221.0,132.0,87.0,209.0,337.0,155.0,68.0,195.0
SP_Dur,164.0,nan,223.0,179.0,279.0,164.0,151.0,nan,113.0,134.0,220.0,123.0,175.0,195.0,72.0,196.0,206.0,24.0,nan,164.0,261.0,122.0
SP_ROC,0.07692307692307698,nan,0.15394736842105258,0.07692307692307698,0.11111111111111106,0.09196617336152221,0.0990196078431372,nan,0.12,0.10000000000000009,0.06601776523327245,0.09776981282357626,0.05409356725146196,0.13548387096774192,0.10000000000000009,0.10837438423645308,0.0454545454545455,0.09801726894787335,nan,0.16228070175438591,0.12499999999999993,0.1099033816425121
DS_Mag_50,0.85,nan,0.49,nan,nan,nan,nan,nan,0.22,0.19,0.55,nan,0.18,0.23,0.14,0.52,nan,0.35,nan,0.17,0.08,0.07
DS_Mag_90,1.2400000000000004,nan,1.2,nan,nan,nan,nan,nan,0.28,1.3099999999999996,1.4840000000000002,nan,0.26,0.29400000000000004,0.25400000000000006,0.7,nan,0.47200000000000014,nan,0.22,0.1,0.1
DS_Tim,329.0,nan,344.0,329.0,342.0,314.0,315.0,nan,283.0,301.0,326.0,314.0,324.0,317.0,293.0,328.0,293.0,233.0,nan,319.0,329.0,317.0
DS_Dur_WS,99.0,nan,140.0,nan,nan,nan,nan,nan,114.0,150.0,43.0,nan,91.0,87.0,127.0,107.0,nan,149.0,nan,72.0,47.0,59.0
