Year,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
FA_Mag,nan,15.852244144673547,6.732867384927277,6.727603846984229,10.948076574274799,nan,nan,4.216741642379848,nan,nan,7.732056383309308,nan,8.86619645376419,14.916164490090539,10.011237706293368,9.088379734450552,11.002095361386933,19.963347939466374,15.998837063538792,12.94824599229777,16.96553695941568,nan,8.374889768800164,nan,4.53823223601282,nan,6.281029684547788,7.564577395862166,3.793798110252193,55.83868585085692,nan,14.850023877727306,13.947013445362158,nan,nan,4.0459889834085505,12.923050784522072,nan,10.956934371555151,6.403472910694453,nan,7.275563835329755,70.86766990642639,28.993897571914605,nan,17.881793377067666,13.981818256166449,nan,11.147187415879799,17.948787037531613,13.921268136438004,nan,45.78058628426524,8.281576797898369,nan,7.76656029703948,7.192711090229988,38.18332484246299,nan,4.2750175555463406,nan,nan
FA_Tim,nan,45.0,50.0,10.0,44.0,nan,nan,42.0,nan,nan,10.0,nan,44.0,46.0,1.0,33.0,15.0,35.0,41.0,34.0,37.0,nan,9.0,nan,52.0,nan,18.0,64.0,6.0,25.0,nan,41.0,62.0,nan,nan,43.0,22.0,nan,25.0,29.0,nan,36.0,72.0,48.0,nan,53.0,27.0,nan,52.0,38.0,66.0,nan,61.0,44.0,nan,32.0,12.0,23.0,nan,31.0,nan,nan
FA_Dur,nan,2.0,7.0,2.0,5.0,nan,nan,4.0,nan,nan,4.0,nan,4.0,3.0,4.0,3.0,5.0,3.0,5.0,4.0,3.0,nan,10.0,nan,3.0,nan,2.0,8.0,2.0,8.0,nan,6.0,1.0,nan,nan,2.0,5.0,nan,7.0,7.0,nan,3.0,3.0,2.0,nan,4.0,2.0,nan,4.0,4.0,2.0,nan,3.0,2.0,nan,8.0,3.0,3.0,nan,8.0,nan,nan
Wet_BFL_Mag_10,5.88,5.5,5.0,12.0,8.1,3.4000000000000004,6.9,2.1,3.6,3.4,4.3,7.66,4.6,8.25,8.2,11.040000000000001,8.780000000000001,19.0,5.51,9.4,7.38,7.470000000000001,3.4000000000000004,2.62,10.100000000000001,4.8,6.0,4.59,7.8,31.0,9.4,8.879999999999999,24.0,4.2,2.6,8.5,6.120000000000001,2.9,3.8,5.02,3.0,14.0,17.5,8.6,21.700000000000003,14.600000000000001,9.0,3.86,5.266,7.886,5.92,11.530000000000001,6.909,4.0169999999999995,5.93,4.442,4.61,16.34,6.839,3.1959999999999997,2.016,1.7000000000000002
Wet_BFL_Mag_50,19.0,11.5,17.0,27.0,43.5,7.1,19.0,5.0,36.0,11.0,5.4,12.0,21.0,87.5,18.0,45.0,19.0,42.0,20.5,41.5,20.5,36.5,4.0,3.0,23.5,16.0,10.0,7.05,21.0,146.0,19.0,30.0,47.0,6.6,3.2,29.0,17.0,9.3,4.85,26.5,6.9,42.0,45.5,18.0,54.0,55.0,31.5,7.7,17.5,15.6,17.700000000000003,32.849999999999994,18.1,10.05,13.8,9.885000000000002,17.9,53.8,10.2,4.13,4.885,2.38
Wet_Tim,153.0,170.0,73.0,173.0,188.0,94.0,154.0,97.0,170.0,6.0,16.0,71.0,151.0,210.0,132.0,172.0,74.0,180.0,136.0,181.0,83.0,198.0,20.0,128.0,164.0,171.0,86.0,129.0,39.0,216.0,19.0,178.0,127.0,130.0,37.0,147.0,164.0,145.0,135.0,153.0,141.0,149.0,176.0,61.0,196.0,191.0,160.0,148.0,153.0,157.0,154.0,188.0,75.0,127.0,169.0,141.0,161.0,177.0,163.0,43.0,110.0,41.0
Wet_BFL_Dur,70.0,66.0,166.0,60.0,46.0,117.0,43.0,151.0,53.0,232.0,213.0,164.0,60.0,46.0,87.0,67.0,159.0,61.0,108.0,48.0,160.0,48.0,197.0,73.0,72.0,60.0,151.0,80.0,203.0,41.0,220.0,39.0,119.0,79.0,163.0,76.0,42.0,93.0,64.0,82.0,81.0,112.0,56.0,166.0,62.0,49.0,80.0,67.0,69.0,83.0,60.0,48.0,158.0,90.0,65.0,80.0,91.0,85.0,54.0,147.0,84.0,97.0
Peak_2,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5
Peak_5,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8
Peak_10,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0
