Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.0,nan,nan,3.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,5.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,3.0,1.0,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,nan,nan,4.0,1.0,nan,3.0,1.0,nan,nan,1.0,nan,nan,nan,nan,7.0,6.0,4.0,nan,5.0,10.0,2.0,2.0,6.0,nan,nan,nan,nan,nan,nan,4.0,2.0,6.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,5.0,1.0,nan,nan,nan,2.0,3.0,nan,nan,nan,nan,1.0
Peak_Fre_5,nan,2.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,3.0,nan,nan,4.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,3.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,3.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SP_Mag,nan,68.0,10.0,nan,nan,nan,nan,290.0,nan,nan,nan,nan,nan,nan,nan,46.0,189.0,8.5,90.0,12.0,nan,nan,13.0,nan,nan,nan,nan,440.0,83.0,473.0,20.0,77.0,229.0,23.0,45.0,439.0,2.5,nan,nan,nan,nan,nan,298.0,6.5,670.0,8.2,18.0,141.0,28.0,nan,nan,nan,nan,nan,163.0,350.0,nan,15.6,nan,110.0,42.2,nan,nan,29.0,1.23,5.29
SP_Tim,nan,172.0,95.0,nan,nan,nan,nan,189.0,nan,nan,nan,nan,nan,nan,nan,94.0,71.0,84.0,153.0,157.0,nan,nan,176.0,nan,nan,nan,nan,159.0,185.0,148.0,159.0,186.0,159.0,92.0,103.0,170.0,162.0,nan,nan,nan,nan,nan,147.0,319.0,165.0,169.0,121.0,150.0,288.0,nan,nan,nan,nan,nan,151.0,21.0,nan,130.0,nan,119.0,152.0,nan,nan,155.0,156.0,103.0
SP_Dur,nan,142.0,102.0,nan,nan,nan,nan,142.0,nan,nan,nan,nan,nan,nan,nan,223.0,274.0,233.0,56.0,61.0,nan,nan,59.0,nan,nan,nan,nan,68.0,147.0,55.0,68.0,141.0,176.0,247.0,206.0,137.0,56.0,nan,nan,nan,nan,nan,52.0,13.0,29.0,141.0,183.0,120.0,24.0,nan,nan,nan,nan,nan,171.0,182.0,nan,181.0,nan,84.0,64.0,nan,nan,160.0,38.0,47.0
SP_ROC,nan,0.1191683569979716,0.16666666666666663,nan,nan,nan,nan,0.1213235294117647,nan,nan,nan,nan,nan,nan,nan,0.10526315789473688,0.18181818181818185,0.33333333333333326,0.06458333333333333,0.16666666666666666,nan,nan,0.14583333333333337,nan,nan,nan,nan,0.125,0.15000000000000002,0.05714285714285714,0.08571428571428566,0.13043478260869565,0.06976744186046507,0.11602564102564103,0.10102040816326527,0.08166666666666669,0.16987179487179488,nan,nan,nan,nan,nan,0.06559139784946236,0.30555555555555547,0.06363636363636363,0.11596638655462181,0.1538461538461538,0.078125,nan,nan,nan,nan,nan,nan,0.0674242424242424,0.09677419354838701,nan,0.10338554880221094,nan,0.06929347826086965,0.06021367266065289,nan,nan,0.47619047619047616,0.6662958843159066,0.08403361344537805
DS_Mag_50,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.2,3.2,0.4,0.1,5.9,1.1,0.0,nan,nan,nan,nan,nan,nan,nan,0.21,0.12,1.5,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,0.0,0.0
DS_Mag_90,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.79,nan,nan,nan,nan,nan,nan,nan,nan,0.7630000000000001,2.0,12.0,1.3,1.4200000000000017,6.86,1.2300000000000004,0.0,nan,nan,nan,nan,nan,nan,nan,8.319999999999999,0.44,12.0,0.0010000000000000852,1.4,0.005999999999999943,nan,nan,nan,nan,nan,nan,0.010000000000000002,nan,nan,nan,nan,0.6240000000000003,nan,nan,nan,0.0,0.0,0.07
DS_Tim,nan,314.0,197.0,nan,nan,nan,nan,331.0,nan,nan,nan,nan,nan,nan,nan,317.0,345.0,317.0,209.0,218.0,nan,nan,235.0,nan,nan,nan,nan,227.0,332.0,203.0,227.0,327.0,335.0,339.0,309.0,307.0,218.0,nan,nan,nan,nan,nan,199.0,332.0,194.0,310.0,304.0,270.0,312.0,nan,nan,nan,nan,nan,322.0,203.0,nan,311.0,nan,203.0,216.0,nan,nan,315.0,194.0,150.0
DS_Dur_WS,nan,116.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,103.0,87.0,155.0,296.0,nan,nan,nan,nan,nan,nan,nan,nan,208.0,150.0,276.0,226.0,95.0,68.0,68.0,106.0,nan,nan,nan,nan,nan,nan,nan,275.0,121.0,181.0,140.0,180.0,128.0,nan,nan,nan,nan,nan,nan,53.0,nan,nan,nan,nan,233.0,nan,nan,nan,106.0,257.0,301.0
