Year,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976
FA_Mag,nan,nan,nan,nan,nan,2.3529529520385277,nan,nan,2.928694639347882,3.1574512717312575,4.961624497766003,2.3086184054898484
FA_Tim,nan,nan,nan,nan,nan,37.0,nan,nan,47.0,48.0,28.0,58.0
FA_Dur,nan,nan,nan,nan,nan,5.0,nan,nan,4.0,16.0,4.0,15.0
Wet_BFL_Mag_10,0.05,1.02,2.5,0.8999999999999999,1.8,0.1,0.08600000000000002,0.0,2.1,0.505,0.505,0.15
Wet_BFL_Mag_50,0.95,7.1,6.8,2.1,20.0,0.85,0.87,0.31,9.0,2.8,7.35,2.1
Wet_Tim,156.0,38.0,53.0,42.0,101.0,95.0,49.0,58.0,123.0,81.0,142.0,113.0
Wet_BFL_Dur,46.0,95.0,158.0,127.0,51.0,65.0,174.0,32.0,53.0,106.0,62.0,90.0
Peak_2,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5
Peak_5,121.80000000000008,121.80000000000008,121.80000000000008,121.80000000000008,121.80000000000008,121.80000000000008,121.80000000000008,121.80000000000008,121.80000000000008,121.80000000000008,121.80000000000008,121.80000000000008
Peak_10,604.6000000000001,604.6000000000001,604.6000000000001,604.6000000000001,604.6000000000001,604.6000000000001,604.6000000000001,604.6000000000001,604.6000000000001,604.6000000000001,604.6000000000001,604.6000000000001
Peak_Dur_2,1.0,3.0,12.0,nan,33.0,nan,nan,nan,1.0,2.0,nan,nan
Peak_Dur_5,nan,1.0,1.0,nan,5.0,nan,nan,nan,nan,nan,nan,nan
Peak_Dur_10,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,1.0,2.0,4.0,nan,7.0,nan,nan,nan,1.0,2.0,nan,nan
Peak_Fre_5,nan,1.0,1.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan
SP_Mag,22.0,24.0,38.0,6.8,135.0,10.0,7.2,23.0,31.0,34.0,17.0,6.8
SP_Tim,202.0,133.0,211.0,169.0,152.0,160.0,223.0,90.0,176.0,187.0,204.0,203.0
SP_Dur,57.0,87.0,65.0,87.0,86.0,113.0,55.0,127.0,82.0,53.0,52.0,43.0
SP_ROC,0.14285714285714285,0.08333333333333323,0.05718954248366015,0.11764705882352938,0.05607966457023061,0.1739130434782609,0.2608695652173913,0.1952380952380952,0.07692307692307698,0.10818713450292394,0.09307359307359314,0.20344827586206896
DS_Mag_50,0.0,0.0,0.0,0.0,0.04,0.03,0.01,0.0,0.0,0.06,0.02,0.01
DS_Mag_90,0.1,0.1,1.1700000000000017,0.04,2.6000000000000005,0.07,0.03,1.1,0.31,0.5330000000000013,0.56,0.56
DS_Tim,259.0,220.0,276.0,256.0,238.0,273.0,278.0,217.0,258.0,240.0,256.0,246.0
DS_Dur_WS,145.0,199.0,132.0,211.0,223.0,142.0,146.0,272.0,189.0,268.0,223.0,233.0
