Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
FA_Mag,nan,125.00565921444885,nan,80.99816701211088,116.98515145504152,nan,106.99980539716502,nan,65.99849286617902,nan,59.98236532898313,76.99291866054192,732.9799006914951,570.8268519996328,149.99478945288834,200.95579257638602,286.97165758954594,130.99394844764115,87.99807719742343,291.9909659065654,197.00012690217696,252.96065437499075,98.99981813244659,nan,84.99507748782871,284.9117221392211,43.981552174392284,84.0142028877093,95.03860643430487,83.68173022615454,138.95789829108662,65.99635892004338,4379.790588526816,nan,242.85350172568948,64.99957841080263,92.00750186206629,83.96582537826794,55.99402362242961
FA_Tim,nan,58.0,nan,44.0,46.0,nan,26.0,nan,8.0,nan,43.0,62.0,13.0,36.0,42.0,44.0,50.0,2.0,13.0,15.0,36.0,42.0,35.0,nan,27.0,10.0,44.0,52.0,1.0,19.0,64.0,6.0,25.0,nan,33.0,6.0,4.0,67.0,44.0
FA_Dur,nan,3.0,nan,5.0,2.0,nan,2.0,nan,6.0,nan,3.0,4.0,6.0,3.0,5.0,4.0,6.0,3.0,3.0,8.0,3.0,3.0,3.0,nan,1.0,2.0,5.0,2.0,8.0,3.0,6.0,2.0,5.0,nan,2.0,1.0,3.0,2.0,2.0
Wet_BFL_Mag_10,109.0,574.0,296.20000000000005,254.6,317.0,312.0,241.20000000000002,405.7,204.70000000000002,334.0,203.0,550.6,208.6,230.0,421.1,380.0000000000001,167.5,273.8,277.20000000000005,333.20000000000005,231.6,458.7,414.0,261.8,486.8,79.0,35.2,284.4,313.0,387.3,178.7,263.9,599.0,286.0,262.8,275.6,133.89999999999998,131.60000000000002,119.80000000000001
Wet_BFL_Mag_50,590.0,1980.0,908.0,794.5,590.0,725.0,760.0,1555.0,531.0,867.0,631.0,1350.0,510.0,599.0,632.5,998.0,459.0,683.0,988.0,623.0,662.0,825.5,1460.0,591.0,1770.0,104.0,129.0,945.0,865.0,718.0,497.0,712.0,1115.0,664.0,958.0,1190.0,445.5,350.0,619.0
Wet_Tim,38.0,173.0,165.0,149.0,170.0,69.0,128.0,178.0,130.0,151.0,162.0,173.0,111.0,161.0,67.0,154.0,55.0,132.0,101.0,76.0,105.0,144.0,181.0,33.0,199.0,21.0,163.0,122.0,152.0,87.0,155.0,39.0,179.0,26.0,162.0,87.0,149.0,126.0,137.0
Wet_BFL_Dur,29.0,70.0,69.0,74.0,67.0,171.0,115.0,60.0,98.0,77.0,71.0,75.0,123.0,71.0,178.0,57.0,208.0,105.0,137.0,157.0,149.0,100.0,51.0,209.0,48.0,205.0,77.0,123.0,84.0,150.0,60.0,200.0,78.0,211.0,55.0,157.0,78.0,107.0,57.0
Peak_2,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0
Peak_5,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003,7846.000000000003
Peak_10,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004,15380.000000000004
